From,To,Distance
AGGN,BWKR,465
AGGN,BXUR,1100
AGGN,CTGC,720
AGGN,CWKW,6027
AGGN,CYWF,588
AGGN,CZQZ,202
AGGN,DDPF,146
AGGN,DESR,1048
AGGN,DKFX,967
AGGN,DNNL,1105
AGGN,DPNB,693
AGGN,DVLK,7071
AGGN,DYCS,918
AGGN,ETZB,907
AGGN,EYBD,7099
AGGN,FAXN,4475
AGGN,FBNV,602
AGGN,FGDC,9119
AGGN,FGWB,735
AGGN,FJXT,1174
AGGN,FNWZ,138
AGGN,FTEP,689
AGGN,FTEV,687
AGGN,FTFA,693
AGGN,FTZH,5158
AGGN,FUQN,5102
AGGN,FUZD,921
AGGN,FXSB,2495
AGGN,GAMH,394
AGGN,GHLN,470
AGGN,GJKZ,1135
AGGN,GKVB,4081
AGGN,GUQE,310
AGGN,GYRZ,4468
AGGN,HNTK,5109
AGGN,HPBF,5040
AGGN,HTUX,728
AGGN,HUUA,897
AGGN,JEAH,5137
AGGN,JFSD,803
AGGN,JREZ,1225
AGGN,KJGW,1123
AGGN,KNMD,3175
AGGN,KRSM,717
AGGN,KWRD,359
AGGN,KYJL,1124
AGGN,KZTV,3175
AGGN,LEXG,924
AGGN,LSGE,931
AGGN,LXEZ,6294
AGGN,LYAX,3163
AGGN,MAHG,583
AGGN,MBPB,319
AGGN,MEPJ,5842
AGGN,MHMV,364
AGGN,MQNA,3403
AGGN,MSET,4136
AGGN,MSQB,494
AGGN,MUHJ,1125
AGGN,MYXZ,730
AGGN,NKAK,353
AGGN,NNGX,1403
AGGN,NRCH,1596
AGGN,NUEX,657
AGGN,NVZR,952
AGGN,NWXN,5144
AGGN,NZAS,940
AGGN,OPA1,5076
AGGN,PCZP,896
AGGN,PJVY,1060
AGGN,PNQS,662
AGGN,PQWY,1288
AGGN,PRQE,202
AGGN,PSXE,754
AGGN,PTFL,1221
AGGN,QFQE,4135
AGGN,QJKL,674
AGGN,QJVF,831
AGGN,QKJA,900
AGGN,QSEU,842
AGGN,QYZH,925
AGGN,RDRD,1014
AGGN,RKMF,779
AGGN,RZQH,906
AGGN,SBDW,1128
AGGN,SCEY,893
AGGN,SEA1,5111
AGGN,SGBP,419
AGGN,SHYQ,1123
AGGN,SMYU,5808
AGGN,STRL,5060
AGGN,SXHT,1031
AGGN,TDHV,361
AGGN,THWA,1331
AGGN,TKXA,986
AGGN,TMKH,999
AGGN,TYFR,4458
AGGN,UGZX,6775
AGGN,UHGN,228
AGGN,UHHZ,794
AGGN,ULLT,2047
AGGN,UMXB,4350
AGGN,VDYD,512
AGGN,VGHV,7109
AGGN,VKAG,1050
AGGN,VLSB,935
AGGN,VRJT,5156
AGGN,VSMR,8300
AGGN,VWLB,4294
AGGN,VYHK,4411
AGGN,WEAS,688
AGGN,WSVC,4976
AGGN,WWYK,103
AGGN,XBGX,4351
AGGN,XDAT,1116
AGGN,XLWU,748
AGGN,XQDT,4092
AGGN,XUMU,1054
AGGN,YAQF,697
AGGN,YTPM,1334
AGGN,YWHG,368
AGGN,ZAWN,1197
AGGN,ZFKN,4173
AGGN,ZHTV,792
AGGN,ZJXD,940
AGGN,ZNRE,5478
AGGN,ZRCE,777
AJJY,AEDY,6476
AJJY,AGGN,6162
AJJY,AJJY,1
AJJY,AJXF,6905
AJJY,AQLM,6826
AJJY,ASHE,6419
AJJY,ATXK,5281
AJJY,AVXV,3287
AJJY,AWUB,6471
AJJY,BAEY,5069
AJJY,BBJM,7016
AJJY,BJHZ,6354
AJJY,BPWZ,5903
AJJY,BQWK,7024
AJJY,BRKR,6733
AJJY,BWKR,6522
AJJY,BXUR,6899
AJJY,CTGC,6507
AJJY,CWKW,6196
AJJY,CYWF,6597
AJJY,CZQZ,5987
AJJY,DDPF,6295
AJJY,DESR,5133
AJJY,DKFX,7027
AJJY,DNNL,7067
AJJY,DPNB,6396
AJJY,DVLK,1422
AJJY,DYCS,6630
AJJY,ETZB,5345
AJJY,EYBD,1439
AJJY,FAXN,6378
AJJY,FBNV,5680
AJJY,FGDC,4503
AJJY,FGWB,6812
AJJY,FJXT,6938
AJJY,FNWZ,6194
AJJY,FTEP,6841
AJJY,FTEV,6841
AJJY,FTFA,6847
AJJY,FTZH,7098
AJJY,FUQN,6927
AJJY,FUZD,5323
AJJY,FXSB,3989
AJJY,GAMH,6556
AJJY,GHLN,5757
AJJY,GJKZ,5110
AJJY,GKVB,6544
AJJY,GUQE,6195
AJJY,GYRZ,6371
AJJY,HNTK,6994
AJJY,HPBF,7009
AJJY,HTUX,6362
AJJY,HUUA,5325
AJJY,JEAH,6956
AJJY,JFSD,5861
AJJY,JREZ,6761
AJJY,KJGW,5057
AJJY,KNMD,3295
AJJY,KRSM,5456
AJJY,KWRD,5893
AJJY,KYJL,7285
AJJY,KZTV,3295
AJJY,LEXG,7017
AJJY,LSGE,7061
AJJY,LXEZ,1232
AJJY,LYAX,3303
AJJY,MAHG,6744
AJJY,MBPB,6332
AJJY,MEPJ,1557
AJJY,MHMV,5821
AJJY,MQNA,7658
AJJY,MSET,6458
AJJY,MSQB,6414
AJJY,MUHJ,6995
AJJY,MYXZ,6849
AJJY,NKAK,6464
AJJY,NNGX,6928
AJJY,NRCH,6789
AJJY,NUEX,5582
AJJY,NVZR,7110
AJJY,NWXN,6989
AJJY,NZAS,5364
AJJY,OPA1,6985
AJJY,PCZP,5342
AJJY,PJVY,6843
AJJY,PNQS,6790
AJJY,PQWY,4924
AJJY,PRQE,6167
AJJY,PSXE,6765
AJJY,PTFL,6927
AJJY,QFQE,6462
AJJY,QJKL,6105
AJJY,QJVF,5708
AJJY,QKJA,5364
AJJY,QSEU,6971
AJJY,QYZH,5255
AJJY,RDRD,7040
AJJY,RKMF,5408
AJJY,RZQH,5363
AJJY,SBDW,7003
AJJY,SCEY,5340
AJJY,SEA1,6951
AJJY,SGBP,6121
AJJY,SHYQ,6850
AJJY,SMYU,1704
AJJY,STRL,6706
AJJY,SXHT,7178
AJJY,TDHV,5820
AJJY,THWA,6754
AJJY,TKXA,5249
AJJY,TMKH,6978
AJJY,TYFR,6423
AJJY,UGZX,5510
AJJY,UHGN,6323
AJJY,UHHZ,6895
AJJY,ULLT,8193
AJJY,UMXB,7404
AJJY,VDYD,6441
AJJY,VGHV,4908
AJJY,VKAG,7010
AJJY,VLSB,6969
AJJY,VRJT,6666
AJJY,VSMR,2546
AJJY,VWLB,6362
AJJY,VYHK,6423
AJJY,WEAS,6612
AJJY,WSVC,6995
AJJY,WWYK,6224
AJJY,XBGX,7136
AJJY,XDAT,5058
AJJY,XLWU,6902
AJJY,XQDT,6520
AJJY,XUMU,5169
AJJY,YAQF,6243
AJJY,YTPM,6892
AJJY,YWHG,6288
AJJY,ZAWN,6902
AJJY,ZFKN,6455
AJJY,ZHTV,6614
AJJY,ZJXD,6460
AJJY,ZNRE,1361
AJJY,ZRCE,5491
AJXF,AEDY,3178
AJXF,AGGN,1107
AJXF,AJJY,6905
AJXF,AJXF,1
AJXF,AQLM,481
AJXF,ASHE,3791
AJXF,ATXK,5936
AJXF,AVXV,4226
AJXF,AWUB,903
AJXF,BAEY,2067
AJXF,BBJM,424
AJXF,BJHZ,1151
AJXF,BPWZ,1502
AJXF,BQWK,3951
AJXF,BRKR,574
AJXF,BWKR,648
AJXF,BXUR,7
AJXF,CTGC,444
AJXF,CWKW,5048
AJXF,CYWF,522
AJXF,CZQZ,1302
AJXF,DDPF,1066
AJXF,DESR,2055
AJXF,DKFX,387
AJXF,DNNL,235
AJXF,DPNB,541
AJXF,DVLK,7445
AJXF,DYCS,278
AJXF,ETZB,1984
AJXF,EYBD,7472
AJXF,FAXN,3543
AJXF,FBNV,1705
AJXF,FGDC,8305
AJXF,FGWB,473
AJXF,FJXT,68
AJXF,FNWZ,1186
AJXF,FTEP,683
AJXF,FTEV,699
AJXF,FTFA,691
AJXF,FTZH,4099
AJXF,FUQN,4062
AJXF,FUZD,1993
AJXF,FXSB,2940
AJXF,GAMH,892
AJXF,GHLN,1295
AJXF,GJKZ,1845
AJXF,GKVB,3134
AJXF,GUQE,880
AJXF,GYRZ,3538
AJXF,HNTK,4062
AJXF,HPBF,3993
AJXF,HTUX,560
AJXF,HUUA,1957
AJXF,JEAH,4093
AJXF,JFSD,1050
AJXF,JREZ,274
AJXF,KJGW,2121
AJXF,KNMD,4219
AJXF,KRSM,1617
AJXF,KWRD,1466
AJXF,KYJL,818
AJXF,KZTV,4219
AJXF,LEXG,459
AJXF,LSGE,567
AJXF,LXEZ,6684
AJXF,LYAX,4207
AJXF,MAHG,780
AJXF,MBPB,1217
AJXF,MEPJ,6167
AJXF,MHMV,1444
AJXF,MQNA,2308
AJXF,MSET,3204
AJXF,MSQB,634
AJXF,MUHJ,106
AJXF,MYXZ,556
AJXF,NKAK,771
AJXF,NNGX,343
AJXF,NRCH,629
AJXF,NUEX,1745
AJXF,NVZR,716
AJXF,NWXN,4096
AJXF,NZAS,1582
AJXF,OPA1,4030
AJXF,PCZP,1966
AJXF,PJVY,63
AJXF,PNQS,604
AJXF,PQWY,2043
AJXF,PRQE,967
AJXF,PSXE,386
AJXF,PTFL,128
AJXF,QFQE,3202
AJXF,QJKL,818
AJXF,QJVF,1208
AJXF,QKJA,1983
AJXF,QSEU,564
AJXF,QYZH,1778
AJXF,RDRD,324
AJXF,RKMF,1817
AJXF,RZQH,1990
AJXF,SBDW,116
AJXF,SCEY,1961
AJXF,SEA1,4068
AJXF,SGBP,889
AJXF,SHYQ,83
AJXF,SMYU,6090
AJXF,STRL,4050
AJXF,SXHT,661
AJXF,TDHV,1302
AJXF,THWA,383
AJXF,TKXA,2048
AJXF,TMKH,242
AJXF,TYFR,3518
AJXF,UGZX,5871
AJXF,UHGN,1131
AJXF,UHHZ,495
AJXF,ULLT,1365
AJXF,UMXB,3277
AJXF,VDYD,610
AJXF,VGHV,6315
AJXF,VKAG,215
AJXF,VLSB,339
AJXF,VRJT,4148
AJXF,VSMR,8416
AJXF,VWLB,3374
AJXF,VYHK,3473
AJXF,WEAS,420
AJXF,WSVC,3932
AJXF,WWYK,1005
AJXF,XBGX,3305
AJXF,XDAT,2102
AJXF,XLWU,679
AJXF,XQDT,3149
AJXF,XUMU,2104
AJXF,YAQF,678
AJXF,YTPM,284
AJXF,YWHG,783
AJXF,ZAWN,115
AJXF,ZFKN,3240
AJXF,ZHTV,340
AJXF,ZJXD,448
AJXF,ZNRE,5927
AJXF,ZRCE,1868
AQLM,AEDY,3657
AQLM,AGGN,742
AQLM,AJJY,6826
AQLM,AJXF,481
AQLM,AQLM,1
AQLM,ASHE,4272
AQLM,ATXK,6414
AQLM,AVXV,3924
AQLM,AWUB,471
AQLM,BAEY,1812
AQLM,BBJM,199
AQLM,BJHZ,707
AQLM,BPWZ,1115
AQLM,BQWK,4422
AQLM,BRKR,117
AQLM,BWKR,306
AQLM,BXUR,476
AQLM,CTGC,429
AQLM,CWKW,5527
AQLM,CYWF,236
AQLM,CZQZ,943
AQLM,DDPF,657
AQLM,DESR,1776
AQLM,DKFX,225
AQLM,DNNL,383
AQLM,DPNB,527
AQLM,DVLK,7568
AQLM,DYCS,482
AQLM,ETZB,1649
AQLM,EYBD,7597
AQLM,FAXN,4023
AQLM,FBNV,1337
AQLM,FGDC,8785
AQLM,FGWB,17
AQLM,FJXT,545
AQLM,FNWZ,782
AQLM,FTEP,208
AQLM,FTEV,224
AQLM,FTFA,217
AQLM,FTZH,4566
AQLM,FUQN,4535
AQLM,FUZD,1662
AQLM,FXSB,2970
AQLM,GAMH,435
AQLM,GHLN,1074
AQLM,GJKZ,1718
AQLM,GKVB,3614
AQLM,GUQE,631
AQLM,GYRZ,4018
AQLM,HNTK,4532
AQLM,HPBF,4464
AQLM,HTUX,582
AQLM,HUUA,1637
AQLM,JEAH,4565
AQLM,JFSD,1041
AQLM,JREZ,715
AQLM,KJGW,1849
AQLM,KNMD,3916
AQLM,KRSM,1386
AQLM,KWRD,1091
AQLM,KYJL,532
AQLM,KZTV,3916
AQLM,LEXG,193
AQLM,LSGE,248
AQLM,LXEZ,6789
AQLM,LYAX,3905
AQLM,MAHG,300
AQLM,MBPB,769
AQLM,MEPJ,6296
AQLM,MHMV,1104
AQLM,MQNA,2760
AQLM,MSET,3684
AQLM,MSQB,421
AQLM,MUHJ,447
AQLM,MYXZ,83
AQLM,NKAK,392
AQLM,NNGX,823
AQLM,NRCH,1099
AQLM,NUEX,1398
AQLM,NVZR,360
AQLM,NWXN,4567
AQLM,NZAS,1470
AQLM,OPA1,4502
AQLM,PCZP,1637
AQLM,PJVY,466
AQLM,PNQS,123
AQLM,PQWY,1902
AQLM,PRQE,672
AQLM,PSXE,132
AQLM,PTFL,609
AQLM,QFQE,3682
AQLM,QJKL,789
AQLM,QJVF,1170
AQLM,QKJA,1642
AQLM,QSEU,172
AQLM,QYZH,1579
AQLM,RDRD,276
AQLM,RKMF,1513
AQLM,RZQH,1647
AQLM,SBDW,446
AQLM,SCEY,1634
AQLM,SEA1,4540
AQLM,SGBP,709
AQLM,SHYQ,539
AQLM,SMYU,6237
AQLM,STRL,4528
AQLM,SXHT,379
AQLM,TDHV,1030
AQLM,THWA,835
AQLM,TKXA,1727
AQLM,TMKH,284
AQLM,TYFR,3999
AQLM,UGZX,6352
AQLM,UHGN,698
AQLM,UHHZ,73
AQLM,ULLT,1367
AQLM,UMXB,3739
AQLM,VDYD,395
AQLM,VGHV,6788
AQLM,VKAG,337
AQLM,VLSB,199
AQLM,VRJT,4626
AQLM,VSMR,8674
AQLM,VWLB,3853
AQLM,VYHK,3953
AQLM,WEAS,280
AQLM,WSVC,4404
AQLM,WWYK,651
AQLM,XBGX,3778
AQLM,XDAT,1837
AQLM,XLWU,222
AQLM,XQDT,3629
AQLM,XUMU,1793
AQLM,YAQF,676
AQLM,YTPM,762
AQLM,YWHG,538
AQLM,ZAWN,595
AQLM,ZFKN,3720
AQLM,ZHTV,372
AQLM,ZJXD,651
AQLM,ZNRE,5996
AQLM,ZRCE,1518
ASHE,AEDY,631
ASHE,AGGN,4743
ASHE,AJJY,6419
ASHE,AJXF,3791
ASHE,AQLM,4272
ASHE,ASHE,1
ASHE,ATXK,2167
ASHE,AVXV,6759
ASHE,AWUB,4650
ASHE,BAEY,5153
ASHE,BBJM,4181
ASHE,BJHZ,4891
ASHE,BPWZ,5101
ASHE,BQWK,708
ASHE,BRKR,4359
ASHE,BWKR,4372
ASHE,BXUR,3795
ASHE,CTGC,4049
ASHE,CWKW,1285
ASHE,CYWF,4257
ASHE,CZQZ,4886
ASHE,DDPF,4768
ASHE,DESR,5224
ASHE,DKFX,4138
ASHE,DNNL,3940
ASHE,DPNB,4055
ASHE,DVLK,5481
ASHE,DYCS,3871
ASHE,ETZB,5350
ASHE,EYBD,5487
ASHE,FAXN,281
ASHE,FBNV,5223
ASHE,FGDC,4515
ASHE,FGWB,4264
ASHE,FJXT,3728
ASHE,FNWZ,4864
ASHE,FTEP,4473
ASHE,FTEV,4488
ASHE,FTFA,4480
ASHE,FTZH,874
ASHE,FUQN,685
ASHE,FUZD,5341
ASHE,FXSB,4335
ASHE,GAMH,4662
ASHE,GHLN,4620
ASHE,GJKZ,4633
ASHE,GKVB,663
ASHE,GUQE,4436
ASHE,GYRZ,290
ASHE,HNTK,748
ASHE,HPBF,718
ASHE,HTUX,4016
ASHE,HUUA,5285
ASHE,JEAH,735
ASHE,JFSD,4101
ASHE,JREZ,3577
ASHE,KJGW,5246
ASHE,KNMD,6758
ASHE,KRSM,4817
ASHE,KWRD,5045
ASHE,KYJL,4453
ASHE,KZTV,6758
ASHE,LEXG,4216
ASHE,LSGE,4308
ASHE,LXEZ,5234
ASHE,LYAX,6748
ASHE,MAHG,4571
ASHE,MBPB,4959
ASHE,MEPJ,4862
ASHE,MHMV,4957
ASHE,MQNA,1800
ASHE,MSET,609
ASHE,MSQB,4270
ASHE,MUHJ,3837
ASHE,MYXZ,4346
ASHE,NKAK,4493
ASHE,NNGX,3449
ASHE,NRCH,3187
ASHE,NUEX,5200
ASHE,NVZR,4438
ASHE,NWXN,768
ASHE,NZAS,4487
ASHE,OPA1,719
ASHE,PCZP,5318
ASHE,PJVY,3810
ASHE,PNQS,4394
ASHE,PQWY,4760
ASHE,PRQE,4546
ASHE,PSXE,4168
ASHE,PTFL,3663
ASHE,QFQE,609
ASHE,QJKL,4106
ASHE,QJVF,4191
ASHE,QKJA,5366
ASHE,QSEU,4335
ASHE,QYZH,4821
ASHE,RDRD,4065
ASHE,RKMF,5140
ASHE,RZQH,5377
ASHE,SBDW,3840
ASHE,SCEY,5306
ASHE,SEA1,712
ASHE,SGBP,4350
ASHE,SHYQ,3736
ASHE,SMYU,4715
ASHE,STRL,472
ASHE,SXHT,4349
ASHE,TDHV,4723
ASHE,THWA,3459
ASHE,TKXA,5355
ASHE,TMKH,4010
ASHE,TYFR,288
ASHE,UGZX,2082
ASHE,UHGN,4857
ASHE,UHHZ,4282
ASHE,ULLT,4148
ASHE,UMXB,1022
ASHE,VDYD,4260
ASHE,VGHV,2581
ASHE,VKAG,3964
ASHE,VLSB,4112
ASHE,VRJT,529
ASHE,VSMR,5406
ASHE,VWLB,467
ASHE,VYHK,336
ASHE,WEAS,4134
ASHE,WSVC,668
ASHE,WWYK,4648
ASHE,XBGX,777
ASHE,XDAT,5210
ASHE,XLWU,4462
ASHE,XQDT,652
ASHE,XUMU,5360
ASHE,YAQF,4052
ASHE,YTPM,3510
ASHE,YWHG,4377
ASHE,ZAWN,3677
ASHE,ZFKN,572
ASHE,ZHTV,4009
ASHE,ZJXD,3808
ASHE,ZNRE,5140
ASHE,ZRCE,5307
ATXK,AEDY,2762
ATXK,AGGN,6794
ATXK,AJJY,5281
ATXK,AJXF,5936
ATXK,AQLM,6414
ATXK,ASHE,2167
ATXK,ATXK,1
ATXK,AVXV,7521
ATXK,AWUB,6755
ATXK,BAEY,6883
ATXK,BBJM,6338
ATXK,BJHZ,6983
ATXK,BPWZ,7104
ATXK,BQWK,2248
ATXK,BRKR,6494
ATXK,BWKR,6478
ATXK,BXUR,5940
ATXK,CTGC,6146
ATXK,CWKW,1070
ATXK,CYWF,6372
ATXK,CZQZ,6902
ATXK,DDPF,6846
ATXK,DESR,6982
ATXK,DKFX,6296
ATXK,DNNL,6099
ATXK,DPNB,6133
ATXK,DVLK,3947
ATXK,DYCS,5985
ATXK,ETZB,7192
ATXK,EYBD,3940
ATXK,FAXN,2399
ATXK,FBNV,7169
ATXK,FGDC,2375
ATXK,FGWB,6405
ATXK,FJXT,5876
ATXK,FNWZ,6926
ATXK,FTEP,6620
ATXK,FTEV,6635
ATXK,FTFA,6627
ATXK,FTZH,2191
ATXK,FUQN,2119
ATXK,FUZD,7175
ATXK,FXSB,5484
ATXK,GAMH,6780
ATXK,GHLN,6563
ATXK,GJKZ,6354
ATXK,GKVB,2809
ATXK,GUQE,6484
ATXK,GYRZ,2403
ATXK,HNTK,2155
ATXK,HPBF,2211
ATXK,HTUX,6086
ATXK,HUUA,7117
ATXK,JEAH,2113
ATXK,JFSD,6054
ATXK,JREZ,5705
ATXK,KJGW,6975
ATXK,KNMD,7525
ATXK,KRSM,6674
ATXK,KWRD,7043
ATXK,KYJL,6620
ATXK,KZTV,7525
ATXK,LEXG,6373
ATXK,LSGE,6468
ATXK,LXEZ,4090
ATXK,LYAX,7522
ATXK,MAHG,6710
ATXK,MBPB,7050
ATXK,MEPJ,3986
ATXK,MHMV,6932
ATXK,MQNA,3903
ATXK,MSET,2735
ATXK,MSQB,6356
ATXK,MUHJ,5990
ATXK,MYXZ,6492
ATXK,NKAK,6593
ATXK,NNGX,5594
ATXK,NRCH,5317
ATXK,NUEX,7115
ATXK,NVZR,6602
ATXK,NWXN,2129
ATXK,NZAS,6297
ATXK,OPA1,2172
ATXK,PCZP,7158
ATXK,PJVY,5949
ATXK,PNQS,6535
ATXK,PQWY,6412
ATXK,PRQE,6591
ATXK,PSXE,6302
ATXK,PTFL,5810
ATXK,QFQE,2737
ATXK,QJKL,6124
ATXK,QJVF,6103
ATXK,QKJA,7216
ATXK,QSEU,6491
ATXK,QYZH,6607
ATXK,RDRD,6223
ATXK,RKMF,6995
ATXK,RZQH,7227
ATXK,SBDW,5994
ATXK,SCEY,7145
ATXK,SEA1,2127
ATXK,SGBP,6379
ATXK,SHYQ,5875
ATXK,SMYU,3866
ATXK,STRL,2025
ATXK,SXHT,6514
ATXK,TDHV,6688
ATXK,THWA,5586
ATXK,TKXA,7162
ATXK,TMKH,6163
ATXK,TYFR,2426
ATXK,UGZX,232
ATXK,UHGN,6943
ATXK,UHHZ,6431
ATXK,ULLT,6247
ATXK,UMXB,2950
ATXK,VDYD,6351
ATXK,VGHV,447
ATXK,VKAG,6119
ATXK,VLSB,6265
ATXK,VRJT,1931
ATXK,VSMR,3416
ATXK,VWLB,2563
ATXK,VYHK,2470
ATXK,WEAS,6249
ATXK,WSVC,2247
ATXK,WWYK,6708
ATXK,XBGX,2804
ATXK,XDAT,6938
ATXK,XLWU,6613
ATXK,XQDT,2793
ATXK,XUMU,7138
ATXK,YAQF,6099
ATXK,YTPM,5653
ATXK,YWHG,6442
ATXK,ZAWN,5821
ATXK,ZFKN,2700
ATXK,ZHTV,6122
ATXK,ZJXD,5893
ATXK,ZNRE,4459
ATXK,ZRCE,7197
AVXV,AEDY,6259
AVXV,AGGN,3182
AVXV,AJJY,3287
AVXV,AJXF,4226
AVXV,AQLM,3924
AVXV,ASHE,6759
AVXV,ATXK,7521
AVXV,AVXV,1
AVXV,AWUB,3472
AVXV,BAEY,2164
AVXV,BBJM,4120
AVXV,BJHZ,3281
AVXV,BPWZ,2827
AVXV,BQWK,7376
AVXV,BRKR,3809
AVXV,BWKR,3634
AVXV,BXUR,4219
AVXV,CTGC,3784
AVXV,CWKW,7703
AVXV,CYWF,3747
AVXV,CZQZ,2981
AVXV,DDPF,3279
AVXV,DESR,2172
AVXV,DKFX,4149
AVXV,DNNL,4276
AVXV,DPNB,3699
AVXV,DVLK,4613
AVXV,DYCS,3973
AVXV,ETZB,2275
AVXV,EYBD,4637
AVXV,FAXN,6502
AVXV,FBNV,2597
AVXV,FGDC,7776
AVXV,FGWB,3916
AVXV,FJXT,4286
AVXV,FNWZ,3158
AVXV,FTEP,3850
AVXV,FTEV,3844
AVXV,FTFA,3852
AVXV,FTZH,7568
AVXV,FUQN,7410
AVXV,FUZD,2261
AVXV,FXSB,2424
AVXV,GAMH,3536
AVXV,GHLN,2934
AVXV,GJKZ,2508
AVXV,GKVB,6276
AVXV,GUQE,3350
AVXV,GYRZ,6491
AVXV,HNTK,7458
AVXV,HPBF,7405
AVXV,HTUX,3695
AVXV,HUUA,2287
AVXV,JEAH,7460
AVXV,JFSD,3302
AVXV,JREZ,4238
AVXV,KJGW,2105
AVXV,KNMD,8
AVXV,KRSM,2616
AVXV,KWRD,2841
AVXV,KYJL,4236
AVXV,KZTV,8
AVXV,LEXG,4105
AVXV,LSGE,4101
AVXV,LXEZ,4038
AVXV,LYAX,19
AVXV,MAHG,3730
AVXV,MBPB,3238
AVXV,MEPJ,3876
AVXV,MHMV,2819
AVXV,MQNA,6290
AVXV,MSET,6267
AVXV,MSQB,3599
AVXV,MUHJ,4272
AVXV,MYXZ,3909
AVXV,NKAK,3533
AVXV,NNGX,4440
AVXV,NRCH,4500
AVXV,NUEX,2527
AVXV,NVZR,4090
AVXV,NWXN,7487
AVXV,NZAS,2751
AVXV,OPA1,7422
AVXV,PCZP,2286
AVXV,PJVY,4168
AVXV,PNQS,3840
AVXV,PQWY,2320
AVXV,PRQE,3276
AVXV,PSXE,3923
AVXV,PTFL,4314
AVXV,QFQE,6269
AVXV,QJKL,3462
