TailNum,FleetName,TypeName,TypeID,HomeGeo,StartDay,EndDay,ArrivingUnitRln,InitialTrace
B747-400-XDAT023,STRATEGIC,B-747P,1,XDAT,15.48,10000,"",false
B747-400-XDAT024,STRATEGIC,B-747P,1,XDAT,15.52,10000,"",false
B747-400-XDAT025,STRATEGIC,B-747P,1,XDAT,15.56,10000,"",false
B747-400-XDAT026,STRATEGIC,B-747P,1,XDAT,15.6,10000,"",false
B747-400-XDAT027,STRATEGIC,B-747P,1,XDAT,15.64,10000,"",false
B747-400-XDAT028,STRATEGIC,B-747P,1,XDAT,15.68,10000,"",false
B747-400-XDAT029,STRATEGIC,B-747P,1,XDAT,15.72,10000,"",false
B747-400-XDAT030,STRATEGIC,B-747P,1,XDAT,15.76,10000,"",false
B747-400-XDAT031,STRATEGIC,B-747P,1,XDAT,15.8,10000,"",false
B747-400-XDAT032,STRATEGIC,B-747P,1,XDAT,15.84,10000,"",false
B747-400-XDAT033,STRATEGIC,B-747P,1,XDAT,15.88,10000,"",false
B747-400-XDAT034,STRATEGIC,B-747P,1,XDAT,15.92,10000,"",false
B747-400-XDAT035,STRATEGIC,B-747P,1,XDAT,15.96,10000,"",false
B747-400-XDAT036,STRATEGIC,B-747P,1,XDAT,30,10000,"",false
B747-400-XDAT037,STRATEGIC,B-747P,1,XDAT,30.033333,10000,"",false
B747-400-XDAT038,STRATEGIC,B-747P,1,XDAT,30.066668,10000,"",false
B747-400-XDAT039,STRATEGIC,B-747P,1,XDAT,30.1,10000,"",false
B747-400-XDAT040,STRATEGIC,B-747P,1,XDAT,30.133333,10000,"",false
B747-400-XDAT041,STRATEGIC,B-747P,1,XDAT,30.166666,10000,"",false
B747-400-XDAT042,STRATEGIC,B-747P,1,XDAT,30.2,10000,"",false
B747-400-XDAT043,STRATEGIC,B-747P,1,XDAT,30.233334,10000,"",false
B747-400-XDAT044,STRATEGIC,B-747P,1,XDAT,30.266666,10000,"",false
B747-400-XDAT045,STRATEGIC,B-747P,1,XDAT,30.3,10000,"",false
B747-400-XDAT046,STRATEGIC,B-747P,1,XDAT,30.333334,10000,"",false
B747-400-XDAT047,STRATEGIC,B-747P,1,XDAT,30.366667,10000,"",false
B747-400-XDAT048,STRATEGIC,B-747P,1,XDAT,30.4,10000,"",false
B747-400-XDAT049,STRATEGIC,B-747P,1,XDAT,30.433332,10000,"",false
B747-400-XDAT050,STRATEGIC,B-747P,1,XDAT,30.466667,10000,"",false
B747-400-XDAT051,STRATEGIC,B-747P,1,XDAT,30.5,10000,"",false
B747-400-XDAT052,STRATEGIC,B-747P,1,XDAT,30.533333,10000,"",false
B747-400-XDAT053,STRATEGIC,B-747P,1,XDAT,30.566668,10000,"",false
B747-400-XDAT054,STRATEGIC,B-747P,1,XDAT,30.6,10000,"",false
B747-400-XDAT055,STRATEGIC,B-747P,1,XDAT,30.633333,10000,"",false
B747-400-XDAT056,STRATEGIC,B-747P,1,XDAT,30.666666,10000,"",false
B747-400-XDAT057,STRATEGIC,B-747P,1,XDAT,30.7,10000,"",false
B747-400-XDAT058,STRATEGIC,B-747P,1,XDAT,30.733334,10000,"",false
B747-400-XDAT059,STRATEGIC,B-747P,1,XDAT,30.766666,10000,"",false
B747-400-XDAT060,STRATEGIC,B-747P,1,XDAT,30.8,10000,"",false
B747-400-XDAT061,STRATEGIC,B-747P,1,XDAT,30.833334,10000,"",false
B747-400-XDAT062,STRATEGIC,B-747P,1,XDAT,30.866667,10000,"",false
B747-400-XDAT063,STRATEGIC,B-747P,1,XDAT,30.9,10000,"",false
B747-400-XDAT064,STRATEGIC,B-747P,1,XDAT,30.933332,10000,"",false
B747-400-XDAT065,STRATEGIC,B-747P,1,XDAT,30.966667,10000,"",false
C17-DKFX001,STRATEGIC,C-17,2,DKFX,0,55,"",false
C17-DKFX002,STRATEGIC,C-17,2,DKFX,0.125,55,"",false
C17-DKFX003,STRATEGIC,C-17,2,DKFX,0.25,55,"",false
C17-DKFX004,STRATEGIC,C-17,2,DKFX,0.375,55,"",false
C17-DKFX005,STRATEGIC,C-17,2,DKFX,0.5,55,"",false
C17-DKFX006,STRATEGIC,C-17,2,DKFX,0.625,55,"",false
C17-DKFX007,STRATEGIC,C-17,2,DKFX,0.75,55,"",false
C17-DKFX008,STRATEGIC,C-17,2,DKFX,0.875,55,"",false
C17-DKFX009,STRATEGIC,C-17,2,DKFX,15,55,"",false
C17-DKFX010,STRATEGIC,C-17,2,DKFX,15.142858,55,"",false
C17-DKFX011,STRATEGIC,C-17,2,DKFX,15.285714,55,"",false
C17-DKFX012,STRATEGIC,C-17,2,DKFX,15.428572,55,"",false
C17-DKFX013,STRATEGIC,C-17,2,DKFX,15.571428,10000,"",false
C17-DKFX014,STRATEGIC,C-17,2,DKFX,15.714286,10000,"",false
C17-DKFX015,STRATEGIC,C-17,2,DKFX,15.857142,10000,"",false
C17-DKFX016,STRATEGIC,C-17,2,DKFX,25,10000,"",false
C17-DKFX017,STRATEGIC,C-17,2,DKFX,25.2,10000,"",false
C17-DKFX018,STRATEGIC,C-17,2,DKFX,25.4,10000,"",false
C17-DKFX019,STRATEGIC,C-17,2,DKFX,25.6,10000,"",false
C17-DKFX020,STRATEGIC,C-17,2,DKFX,25.8,10000,"",false
C17-PQWY001,STRATEGIC,C-17,2,PQWY,0,55,"",false
C17-PQWY002,STRATEGIC,C-17,2,PQWY,0.25,55,"",false
C17-PQWY003,STRATEGIC,C-17,2,PQWY,0.5,55,"",false
C17-PQWY004,STRATEGIC,C-17,2,PQWY,0.75,55,"",false
C17-PQWY005,STRATEGIC,C-17,2,PQWY,25,55,"",false
C17-PQWY006,STRATEGIC,C-17,2,PQWY,25.2,10000,"",false
C17-PQWY007,STRATEGIC,C-17,2,PQWY,25.4,10000,"",false
C17-PQWY008,STRATEGIC,C-17,2,PQWY,25.6,10000,"",false
C17-PQWY009,STRATEGIC,C-17,2,PQWY,25.8,10000,"",false
C17-XDAT001,STRATEGIC,C-17,2,XDAT,0,55,"",false
C17-XDAT002,STRATEGIC,C-17,2,XDAT,0.25,55,"",false
C17-XDAT003,STRATEGIC,C-17,2,XDAT,0.5,55,"",false
C17-XDAT004,STRATEGIC,C-17,2,XDAT,0.75,55,"",false
C17-XDAT005,STRATEGIC,C-17,2,XDAT,15,55,"",false
C17-XDAT006,STRATEGIC,C-17,2,XDAT,15.142858,55,"",false
C17-XDAT007,STRATEGIC,C-17,2,XDAT,15.285714,55,"",false
C17-XDAT008,STRATEGIC,C-17,2,XDAT,15.428572,10000,"",false
C17-XDAT009,STRATEGIC,C-17,2,XDAT,15.571428,10000,"",false
C17-XDAT010,STRATEGIC,C-17,2,XDAT,15.714286,10000,"",false
C17-XDAT011,STRATEGIC,C-17,2,XDAT,15.857142,10000,"",false
C5A-XDAT001,STRATEGIC,C-5A,3,XDAT,0,10000,"",false
C5A-XDAT002,STRATEGIC,C-5A,3,XDAT,0.2,10000,"",false
C5A-XDAT003,STRATEGIC,C-5A,3,XDAT,0.4,10000,"",false
C5A-XDAT004,STRATEGIC,C-5A,3,XDAT,0.6,10000,"",false
C5A-XDAT005,STRATEGIC,C-5A,3,XDAT,0.8,10000,"",false
C5A-XDAT006,STRATEGIC,C-5A,3,XDAT,15,10000,"",false
C5A-XDAT007,STRATEGIC,C-5A,3,XDAT,15.083333,10000,"",false
C5A-XDAT008,STRATEGIC,C-5A,3,XDAT,15.166667,10000,"",false
C5A-XDAT009,STRATEGIC,C-5A,3,XDAT,15.25,10000,"",false
C5A-XDAT010,STRATEGIC,C-5A,3,XDAT,15.333333,10000,"",false
C5A-XDAT011,STRATEGIC,C-5A,3,XDAT,15.416667,10000,"",false
C5A-XDAT012,STRATEGIC,C-5A,3,XDAT,15.5,10000,"",false
C5A-XDAT013,STRATEGIC,C-5A,3,XDAT,15.583333,10000,"",false
C5A-XDAT014,STRATEGIC,C-5A,3,XDAT,15.666667,10000,"",false
C5A-XDAT015,STRATEGIC,C-5A,3,XDAT,15.75,10000,"",false
C5A-XDAT016,STRATEGIC,C-5A,3,XDAT,15.833333,10000,"",false
C5A-XDAT017,STRATEGIC,C-5A,3,XDAT,15.916667,10000,"",false
C5A-XDAT018,STRATEGIC,C-5A,3,XDAT,25,10000,"",false
C5A-XDAT019,STRATEGIC,C-5A,3,XDAT,25.05,10000,"",false
C5A-XDAT020,STRATEGIC,C-5A,3,XDAT,25.1,10000,"",false
C5A-XDAT021,STRATEGIC,C-5A,3,XDAT,25.15,10000,"",false
C5A-XDAT022,STRATEGIC,C-5A,3,XDAT,25.2,10000,"",false
C5A-XDAT023,STRATEGIC,C-5A,3,XDAT,25.25,10000,"",false
C5A-XDAT024,STRATEGIC,C-5A,3,XDAT,25.3,10000,"",false
C5A-XDAT025,STRATEGIC,C-5A,3,XDAT,25.35,10000,"",false
C5A-XDAT026,STRATEGIC,C-5A,3,XDAT,25.4,10000,"",false
C5A-XDAT027,STRATEGIC,C-5A,3,XDAT,25.45,10000,"",false
C5A-XDAT028,STRATEGIC,C-5A,3,XDAT,25.5,10000,"",false
C5A-XDAT029,STRATEGIC,C-5A,3,XDAT,25.55,10000,"",false
C5A-XDAT030,STRATEGIC,C-5A,3,XDAT,25.6,10000,"",false
C5A-XDAT031,STRATEGIC,C-5A,3,XDAT,25.65,10000,"",false
C5A-XDAT032,STRATEGIC,C-5A,3,XDAT,25.7,10000,"",false
C5A-XDAT033,STRATEGIC,C-5A,3,XDAT,25.75,10000,"",false
C5A-XDAT034,STRATEGIC,C-5A,3,XDAT,25.8,10000,"",false
C5A-XDAT035,STRATEGIC,C-5A,3,XDAT,25.85,10000,"",false
C5A-XDAT036,STRATEGIC,C-5A,3,XDAT,25.9,10000,"",false
C5A-XDAT037,STRATEGIC,C-5A,3,XDAT,25.95,10000,"",false
CH47-SEA1001,STRATEGIC,CH47,4,SEA1,0,10000,"",false
CH47-SEA1002,STRATEGIC,CH47,4,SEA1,0.33333334,10000,"",false
CH47-SEA1003,STRATEGIC,CH47,4,SEA1,0.6666667,10000,"",false
KC10-XDAT001,STRATEGIC,KC-10,5,XDAT,0,10000,"",false
KC10-XDAT002,STRATEGIC,KC-10,5,XDAT,0.125,10000,"",false
KC10-XDAT003,STRATEGIC,KC-10,5,XDAT,0.25,10000,"",false
KC10-XDAT004,STRATEGIC,KC-10,5,XDAT,0.375,10000,"",false
KC10-XDAT005,STRATEGIC,KC-10,5,XDAT,0.5,10000,"",false
KC10-XDAT006,STRATEGIC,KC-10,5,XDAT,0.625,10000,"",false
KC10-XDAT007,STRATEGIC,KC-10,5,XDAT,0.75,10000,"",false
KC10-XDAT008,STRATEGIC,KC-10,5,XDAT,0.875,10000,"",false
KC10-XDAT009,STRATEGIC,KC-10,5,XDAT,15,10000,"",false
KC10-XDAT010,STRATEGIC,KC-10,5,XDAT,15.055555,10000,"",false
KC10-XDAT011,STRATEGIC,KC-10,5,XDAT,15.111111,10000,"",false
KC10-XDAT012,STRATEGIC,KC-10,5,XDAT,15.166667,10000,"",false
KC10-XDAT013,STRATEGIC,KC-10,5,XDAT,15.222222,10000,"",false
KC10-XDAT014,STRATEGIC,KC-10,5,XDAT,15.277778,10000,"",false
KC10-XDAT015,STRATEGIC,KC-10,5,XDAT,15.333333,10000,"",false
KC10-XDAT016,STRATEGIC,KC-10,5,XDAT,15.388889,10000,"",false
KC10-XDAT017,STRATEGIC,KC-10,5,XDAT,15.444445,10000,"",false
KC10-XDAT018,STRATEGIC,KC-10,5,XDAT,15.5,10000,"",false
KC10-XDAT019,STRATEGIC,KC-10,5,XDAT,15.555555,10000,"",false
KC10-XDAT020,STRATEGIC,KC-10,5,XDAT,15.611111,10000,"",false
KC10-XDAT021,STRATEGIC,KC-10,5,XDAT,15.666667,10000,"",false
KC10-XDAT022,STRATEGIC,KC-10,5,XDAT,15.722222,10000,"",false
KC10-XDAT023,STRATEGIC,KC-10,5,XDAT,15.777778,10000,"",false
KC10-XDAT024,STRATEGIC,KC-10,5,XDAT,15.833333,10000,"",false
KC10-XDAT025,STRATEGIC,KC-10,5,XDAT,15.888889,10000,"",false
KC10-XDAT026,STRATEGIC,KC-10,5,XDAT,15.944445,10000,"",false
KC10-XDAT027,STRATEGIC,KC-10,5,XDAT,25,10000,"",false
KC10-XDAT028,STRATEGIC,KC-10,5,XDAT,25.083334,10000,"",false
KC10-XDAT029,STRATEGIC,KC-10,5,XDAT,25.166666,10000,"",false
KC10-XDAT030,STRATEGIC,KC-10,5,XDAT,25.25,10000,"",false
KC10-XDAT031,STRATEGIC,KC-10,5,XDAT,25.333334,10000,"",false
KC10-XDAT032,STRATEGIC,KC-10,5,XDAT,25.416666,10000,"",false
KC10-XDAT033,STRATEGIC,KC-10,5,XDAT,25.5,10000,"",false
KC10-XDAT034,STRATEGIC,KC-10,5,XDAT,25.583334,10000,"",false
KC10-XDAT035,STRATEGIC,KC-10,5,XDAT,25.666666,10000,"",false
KC10-XDAT036,STRATEGIC,KC-10,5,XDAT,25.75,10000,"",false
KC10-XDAT037,STRATEGIC,KC-10,5,XDAT,25.833334,10000,"",false
KC10-XDAT038,STRATEGIC,KC-10,5,XDAT,25.916666,10000,"",false
