Name,Commodity Code,Service Index,Split RLN Code,Cargo Category Code,Parent Unit Code,Unit Name,Description,TPSN,Aircraft Name,Brigade Key,UTC,UIC,First FM,Aircraft Count,Vehicle Type,Vehicle Name,Aircraft Fleet,Vehicle Count,Origin,Destination,APOE,SPOE,APOD,SPOD,Strat ILOC,Dep Theater,RLD,Air ALD,Sea ALD,ILOC Delay,EAD,LAD,RDD,Mode,Means,POL,PAX,Bulk STons,Over STons,Out STons,Total STons,Cont STons,Wheeled STons,Tracked STons,NSDA STons,NonCont STons,Cont MTons,Wheeled MTons,Tracked MTons,NSDA MTons,NonCont MTons,Cont Sqft,Wheeled Sqft,Tracked Sqft,NSDA Sqft,NonCont Sqft,FM List,Organization,NextRln,Retrograde,HandoffOrigin,HandoffDate,PreemptivePriority,MaxSchedDay,ILOC Mode,Rln Priority,Tpfdd Priority,Trigger Delay,EAD Objective Penalty,RDD Objective Penalty,Additional Days Late Objective,ADL Objective Penalty,Goal Location,Goal Day
1:00GC,6,1,1:00GC,"",,"",C J CO MI BN ABN DIV,01082,"",ABN,PC4NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,20,0,0,20,24,25,1,0,.00,11,19.40,8.10,.00,27.50,19.40,.00,8.10,.00,.00,48.00,.00,65.00,.00,.00,375,0,318,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GDC,6,1,1:00GD,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,"",ABN,2AAFF,"",ABN,0,"","","",0,HCTL,WSVC,"",NPTU,"",VKNP,,1,0,0,7,0,20,24,25,2,0,.00,0,.00,.00,19.10,19.10,.00,19.10,.00,.00,.00,.00,60.00,.00,.00,.00,0,382,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GDP,6,1,1:00GD,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,"",ABN,2AAFF,"",ABN,0,"","","",0,HCTL,OPA1,TMKH,"","","",,1,0,20,0,0,20,24,25,1,0,.00,20,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",ABN,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GE,6,1,1:00GE,"",,"",FWD SUP CO S T BN ABN DIV,01082,"",ABN,JH5NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,20,0,0,20,24,25,1,0,.00,23,9.80,11.60,.00,21.40,9.80,.00,11.60,.00,.00,24.00,.00,41.00,.00,.00,187,0,273,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GF,6,1,1:00GF,"",,"",FWD SUP CO S T BN ABN DIV,01082,"",ABN,JH5NN,"",ABN,0,"","","",0,HCTL,OPA1,"",QTUP,"",APFD,,1,0,0,14,0,20,24,25,2,50,.00,0,11.60,91.30,.00,102.90,9.80,.00,93.10,.00,.00,24.00,.00,356.00,.00,.00,187,0,2102,0,0,"",ABN,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GFA,6,1,1:00GFA,"",,"",FWD SUP CO S T BN ABN DIV,01082,"",ABN,JH5NN,"",ABN,0,"","","",0,HCTL,OPA1,TMKH,"","","",,1,0,20,0,0,20,24,25,1,0,.00,46,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",ABN,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GG,6,1,1:00GG,"",,"",FWD SPT MEDICAL CO  ABN,01082,"",ABN,F3WNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,20,0,0,20,24,25,1,0,.00,43,11.40,10.80,.00,22.20,11.40,.00,10.80,.00,.00,29.00,.00,86.00,.00,.00,225,0,424,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GH,6,1,1:00GH,"",,"",FWD SPT MEDICAL CO  ABN,01082,"",ABN,F3WNN,"",ABN,0,"","","",0,HCTL,OPA1,"",QTUP,"",APFD,,1,0,0,14,0,20,24,25,2,50,.00,0,11.40,58.00,.00,69.40,11.40,.00,58.00,.00,.00,29.00,.00,387.00,.00,.00,225,0,2075,0,0,"",ABN,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00GHA,6,1,1:00GHA,"",,"",FWD SPT MEDICAL CO  ABN,01082,"",ABN,F3WNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,20,0,0,20,24,25,1,0,.00,63,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00HB,6,1,1:00HB,"",,"",HHC AIRBORNE DIVISION,01082,"",ABN,0MBNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,13,0,0,12,15,18,1,0,.00,25,47.30,18.90,.00,66.20,47.30,.00,18.90,.00,.00,132.00,.00,149.00,.00,.00,929,0,742,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HC,6,1,1:00HC,"",,"",HHC AIRBORNE BRIGADE,01082,"",ABN,3MBNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,14,0,0,12,15,18,1,0,.00,30,15.30,30.90,.00,46.20,15.30,.00,30.90,.00,.00,42.00,.00,222.00,.00,.00,299,0,1131,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HDC,6,1,1:00HD,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,"",ZBES,"",HNTS,,1,0,0,14,0,14,15,18,2,0,.00,0,128.20,157.70,.00,285.90,126.70,.00,159.20,.00,.00,319.00,.00,1070.00,.00,.00,2469,0,5582,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HDP,6,1,1:00HD,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,15,0,0,14,15,18,1,0,.00,517,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HE,6,1,1:00HE,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,14,0,0,12,15,18,1,0,.00,517,3.30,159.80,.00,163.10,3.30,.00,159.80,.00,.00,3.00,.00,822.00,.00,.00,1,0,4858,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HF,6,1,1:00HF,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,14,0,0,12,15,18,1,0,.00,517,11.40,150.10,.00,161.50,11.40,.00,150.10,.00,.00,31.00,.00,796.00,.00,.00,163,0,4660,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HG,6,1,1:00HG,"",,"",ADA BTRY VUL/MPDS  ABN,01082,"",ABN,1S7NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,15,0,0,12,15,18,1,0,.00,50,19.10,13.50,.00,32.60,19.10,.00,13.50,.00,.00,47.00,.00,107.00,.00,.00,371,0,530,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HK,6,1,1:00HK,"",,"",MP COMPANY AIRBORNE DIV,01082,"",ABN,QXTTT,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,15,0,0,12,15,18,1,0,.00,21,18.80,5.40,.00,24.20,18.80,.00,5.40,.00,.00,44.00,.00,43.00,.00,.00,325,0,212,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00HL,6,1,1:00HL,"",,"",MP COMPANY AIRBORNE DIV,01082,"",ABN,QXTTT,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,4,15,0,0,12,15,18,1,0,.00,5,18.80,8.10,.00,26.90,18.80,.00,8.10,.00,.00,44.00,.00,65.00,.00,.00,325,0,318,0,0,"",TEBESSA,"",0,HCTL,4,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,18
1:00JC,6,1,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,"",ABN,2AAFF,"",ABN,0,"","","",0,HCTL,WSVC,"",DKSD,"",HNTS,,1,5,0,16,0,19,25,27,2,0,.00,0,22.10,232.40,.00,254.50,22.10,.00,232.40,.00,.00,44.00,.00,548.00,.00,.00,285,0,2688,0,0,"",TEBESSA,"",0,HCTL,5,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JCC,6,1,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,"",ABN,2AAFF,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,11,19,0,0,19,25,27,1,0,.00,20,.00,.00,19.10,19.10,.00,19.10,.00,.00,.00,.00,60.00,.00,.00,.00,0,382,0,0,0,"",TEBESSA,"",0,HCTL,11,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JCP,6,1,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,"",ABN,2AAFF,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,11,19,0,0,19,25,27,1,0,.00,20,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,11,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JD,6,1,1:00JD,"",,"",FWD SPT CO ORD BN  ABN,01082,"",ABN,HE6NN,"",ABN,0,"","","",0,HCTL,OPA1,"",QTUP,"",APFD,,1,5,0,14,0,19,25,27,2,50,.00,0,13.50,24.50,24.40,62.40,20.60,.00,41.80,.00,.00,96.00,.00,324.00,.00,.00,622,0,2377,0,0,"",ABN,"",0,HCTL,5,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JDA,6,1,1:00JDA,"",,"",FWD SPT CO ORD BN  ABN,01082,"",ABN,HE6NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,11,19,0,0,19,25,27,1,0,.00,52,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,11,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JE,6,1,1:00JE,"",,"",FWD SUP CO S T BN ABN DIV,01082,"",ABN,JH5NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,11,19,0,0,19,25,27,1,0,.00,23,9.80,11.60,.00,21.40,9.80,.00,11.60,.00,.00,24.00,.00,41.00,.00,.00,187,0,273,0,0,"",TEBESSA,"",0,HCTL,11,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00JFA,6,1,1:00JFA,"",,"",FWD SUP CO S T BN ABN DIV,01082,"",ABN,JH5NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,11,19,0,0,19,25,27,1,0,.00,52,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,11,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:03AEC,7,1,1:03AE,"",,"",INF BN  MECH,00001,"",1ME,05TTT,"",1ME,0,"","","",0,HFTZ,WSVC,"",QTUP,"",HNTS,,1,15,0,23,0,35,40,40,2,0,.00,0,144.00,2413.90,1687.00,4244.90,140.20,1243.90,2858.60,.00,2.20,344.00,4840.40,5291.00,.00,17.70,2717,27576,24460,0,101,"",TEBESSA,"",0,HFTZ,15,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,40
1:03AEP,7,1,1:03AE,"",,"",INF BN  MECH,00001,"",1ME,05TTT,"",1ME,0,"","","",0,HFTZ,WSVC,UHGN,"",FUQN,"",,1,15,36,0,0,35,38,38,1,0,.00,821,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HFTZ,15,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,38
1:03AFC,7,1,1:03AF,"",,"",INF BN  MECH,00001,"",1ME,05TTT,"",1ME,0,"","","",0,HFTZ,WSVC,"",DKSD,"",VKNP,,1,15,0,22,0,35,40,40,2,0,.00,0,144.00,2413.90,1687.00,4244.90,140.20,1243.90,2858.60,.00,2.20,344.00,4840.40,5291.00,.00,17.70,2717,27576,24460,0,101,"",TEBESSA,"",0,HFTZ,15,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,40
1:03AFP,7,1,1:03AF,"",,"",INF BN  MECH,00001,"",1ME,05TTT,"",1ME,0,"","","",0,HFTZ,WSVC,UHGN,"",FUQN,"",,1,15,37,0,0,35,38,38,1,0,.00,821,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HFTZ,15,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,38
1:03AGC,7,1,1:03AG,"",,"","TANK BATTALION, EQ/W, M6O",00001,"",CTK,2JTTT,"",CTK,0,"","","",0,HFTZ,NWXN,"",DKSD,"",HNTS,,1,2,0,20,0,28,33,34,2,0,.00,0,175.20,1433.40,4807.30,6415.90,142.00,1635.00,4550.80,.00,88.10,300.00,5067.70,5314.40,.00,270.10,2840,26552,23385,0,1363,"",MADANIYIN,"",0,HFTZ,2,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,34
1:03AGP,7,1,1:03AG,"",,"","TANK BATTALION, EQ/W, M6O",00001,"",CTK,2JTTT,"",CTK,0,"","","",0,HFTZ,JEAH,UHGN,"",JEAH,"",,1,2,28,0,0,28,33,34,1,0,.00,633,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",JERBA-ZARZIS,"",0,HFTZ,2,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,34
1:03AJC,7,1,1:03AJ,"",,"","TANK BATTALION, EQ/W, M6O",00001,"",CTK,2JTTT,"",CTK,0,"","","",0,HFTZ,NWXN,"",JTVH,"",VKNP,,1,2,0,14,0,28,33,34,2,0,.00,0,175.20,1433.40,4807.30,6415.90,142.00,1635.00,4550.80,.00,88.10,300.00,5067.70,5314.40,.00,270.10,2840,26552,23385,0,1363,"",MADANIYIN,"",0,HFTZ,2,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,34
