Name,DepOrd Day,Locked,Rln Scope,Goal,GoalDate,Split,Retrograde,Total STons,PAX,POL,Num Pallets,Num Containers,Commodity,Commodity Index,Service,Split RLN Code,Cargo Category Code,Parent Unit Code,Unit Name,Description,TPSN,Vehicle Name,Vehicle Count,Brigade Key,UTC,UIC,First FM,RLD,Origin,Planning Origin,Planning Origin Penalty,Air ALD,Sea ALD,ALD,APOE,SPOE,TPFDD POE,SIL,SIL Mode,SIL Delay,EAD,LAD,PAX Strat Mode,Cargo Strat Mode,Dep Means,APOD,SPOD,TPFDD POD,RDD,Destination,Theater,Operation,FM List,Organization,Next Rln,MaxSched Day,Bulk STons,Oversize STons,Outsize STons,Rln Priority,Tpfdd Priority
1:00FF,0,NO,STRAT,DST,21,NO,NO,.0,150,0,0,0,AIRBORNE,5,ARMY,,"",,"",HHC AIRBORNE DIVISION,01082,,0,ABN,099BB,"",ABN,17,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,20,Air,NONE,0,OPA1,"","",21,OPA1,Tunisia,THEATER1,"",ABN,"",9999,0,0,0,2147483647,9999
1:00FG,0,NO,STRAT,DST,17,NO,NO,285.9,517,0,4,0,AIRBORNE,5,ARMY,,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,0,HCTL,HCTL,0,13,0,13,TMKH,"",TMKH,"",NONE,0,13,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,285.89996,285.89996,285.89996,2147483647,9999
1:00FH,0,NO,STRAT,DST,17,NO,NO,163.1,517,0,4,0,AIRBORNE,5,ARMY,,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,0,HCTL,HCTL,0,12,0,12,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,163.1,163.1,163.1,2147483647,9999
1:00FJ,0,NO,STRAT,DST,17,NO,NO,161.5,517,0,4,0,AIRBORNE,5,ARMY,,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,0,HCTL,HCTL,0,12,0,12,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,161.5,161.5,161.5,2147483647,9999
1:00FK,0,NO,STRAT,DST,17,NO,NO,32.6,50,0,1,0,AIRBORNE,5,ARMY,,"",,"",ADA BTRY VUL/MPDS  ABN,01082,,0,ABN,1S7NN,"",ABN,0,HCTL,HCTL,0,13,0,13,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,32.6,32.6,32.6,2147483647,9999
1:00FL,0,NO,STRAT,DST,17,NO,NO,63.2,17,0,1,0,AIRBORNE,5,ARMY,,"",,"",ADA BTRY VUL/MPDS  ABN,01082,,0,ABN,1S7NN,"",ABN,0,HCTL,HCTL,0,13,0,13,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,63.199997,63.199997,63.199997,2147483647,9999
1:00FQ,0,NO,STRAT,DST,17,NO,NO,24.2,21,0,3,0,AIRBORNE,5,ARMY,,"",,"",MP COMPANY AIRBORNE DIV,01082,,0,ABN,QXTTT,"",ABN,0,HCTL,HCTL,0,13,0,13,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,17,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,24.2,24.2,24.2,2147483647,9999
1:00FR,0,NO,STRAT,DST,27,NO,NO,26.9,5,0,3,0,AIRBORNE,5,ARMY,,"",,"",MP COMPANY AIRBORNE DIV,01082,,0,ABN,QXTTT,"",ABN,0,HCTL,HCTL,0,22,0,22,TMKH,"",TMKH,"",NONE,0,22,26,Air,Air,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,26.900002,26.900002,26.900002,2147483647,9999
1:00FS,0,NO,STRAT,DST,27,NO,NO,.1,15,0,0,0,AIRBORNE,5,ARMY,,"",,"",FWD COMM CO  ABN,01082,,0,ABN,6D444,"",ABN,0,HCTL,HCTL,0,22,0,22,TMKH,"",TMKH,"",NONE,0,22,26,Air,Air,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0.1,0.1,0.1,2147483647,9999
1:00FTC,0,NO,STRAT,DST,27,NO,NO,44.9,0,0,0,6,AIRBORNE,5,ARMY,1:00FT,"",,"",FWD COMM CO  ABN,01082,,0,ABN,6D444,"",ABN,0,HCTL,HCTL,0,0,7,7,TMKH,NPTU,NPTU,"",NONE,0,22,26,NONE,Water,0,"",VKNP,VKNP,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,44.899998,44.899998,44.899998,2147483647,9999
1:00FTP,0,NO,STRAT,DST,27,NO,NO,.0,10,0,0,0,AIRBORNE,5,ARMY,1:00FT,"",,"",FWD COMM CO  ABN,01082,,0,ABN,6D444,"",ABN,0,HCTL,HCTL,0,22,0,22,TMKH,"",TMKH,"",NONE,0,22,26,Air,NONE,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00FV,0,NO,STRAT,DST,27,NO,NO,227.2,0,0,0,1,AIRBORNE,5,ARMY,,"",,"","ENGR CO, ENGR BN, ABN DIV",01082,,0,ABN,44RNN,"",ABN,0,HCTL,HCTL,0,0,15,15,TMKH,DKSD,DKSD,"",NONE,0,22,26,NONE,Water,0,"",VKNP,VKNP,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,227.2,227.2,227.2,2147483647,9999
1:00FVA,0,NO,STRAT,DST,27,NO,NO,.0,94,0,0,0,AIRBORNE,5,ARMY,,"",,"","ENGR CO, ENGR BN, ABN DIV",01082,,0,ABN,44RNN,"",ABN,0,HCTL,HCTL,0,22,0,22,TMKH,"",TMKH,"",NONE,0,22,26,Air,NONE,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00GB,0,NO,STRAT,DST,25,NO,NO,19.4,12,0,1,0,AIRBORNE,5,ARMY,,"",,"",C J CO MI BN ABN DIV,01082,,0,ABN,PC4NN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,Air,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,19.400002,19.400002,19.400002,2147483647,9999
1:00GC,0,NO,STRAT,DST,25,NO,NO,27.5,11,0,1,0,AIRBORNE,5,ARMY,,"",,"",C J CO MI BN ABN DIV,01082,,0,ABN,PC4NN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,Air,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,27.5,27.5,27.5,2147483647,9999
1:00GDC,0,NO,STRAT,DST,25,NO,NO,19.1,0,0,0,0,AIRBORNE,5,ARMY,1:00GD,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,,0,ABN,2AAFF,"",ABN,0,HCTL,HCTL,0,0,7,7,TMKH,NPTU,NPTU,"",NONE,0,20,24,NONE,Water,0,"",VKNP,VKNP,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,19.1,19.1,19.1,2147483647,9999
1:00GDP,0,NO,STRAT,DST,25,NO,NO,.0,20,0,0,0,AIRBORNE,5,ARMY,1:00GD,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,,0,ABN,2AAFF,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,NONE,0,OPA1,"","",25,OPA1,Tunisia,THEATER1,"",ABN,"",9999,0,0,0,2147483647,9999
1:00GE,0,NO,STRAT,DST,25,NO,NO,21.4,23,0,1,0,AIRBORNE,5,ARMY,,"",,"",FWD SUP CO S T BN ABN DIV,01082,,0,ABN,JH5NN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,Air,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,21.400002,21.400002,21.400002,2147483647,9999
1:00GF,0,NO,STRAT,DST,25,NO,NO,102.9,0,0,0,1,AIRBORNE,5,ARMY,,"",,"",FWD SUP CO S T BN ABN DIV,01082,,0,ABN,JH5NN,"",ABN,0,HCTL,HCTL,0,0,14,14,TMKH,QTUP,QTUP,"",NONE,0,20,24,NONE,Water,50,"",APFD,APFD,25,OPA1,Tunisia,THEATER1,"",ABN,"",9999,102.90001,102.90001,102.90001,2147483647,9999
1:00GFA,0,NO,STRAT,DST,25,NO,NO,.0,46,0,0,0,AIRBORNE,5,ARMY,,"",,"",FWD SUP CO S T BN ABN DIV,01082,,0,ABN,JH5NN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,NONE,0,OPA1,"","",25,OPA1,Tunisia,THEATER1,"",ABN,"",9999,0,0,0,2147483647,9999
1:00GG,0,NO,STRAT,DST,25,NO,NO,22.2,43,0,1,0,AIRBORNE,5,ARMY,,"",,"",FWD SPT MEDICAL CO  ABN,01082,,0,ABN,F3WNN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,Air,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,22.2,22.2,22.2,2147483647,9999
1:00GH,0,NO,STRAT,DST,25,NO,NO,69.4,0,0,0,1,AIRBORNE,5,ARMY,,"",,"",FWD SPT MEDICAL CO  ABN,01082,,0,ABN,F3WNN,"",ABN,0,HCTL,HCTL,0,0,14,14,TMKH,QTUP,QTUP,"",NONE,0,20,24,NONE,Water,50,"",APFD,APFD,25,OPA1,Tunisia,THEATER1,"",ABN,"",9999,69.4,69.4,69.4,2147483647,9999
1:00GHA,0,NO,STRAT,DST,25,NO,NO,.0,63,0,0,0,AIRBORNE,5,ARMY,,"",,"",FWD SPT MEDICAL CO  ABN,01082,,0,ABN,F3WNN,"",ABN,0,HCTL,HCTL,0,20,0,20,TMKH,"",TMKH,"",NONE,0,20,24,Air,NONE,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00HB,0,NO,STRAT,DST,18,NO,NO,66.2,25,0,1,0,AIRBORNE,5,ARMY,,"",,"",HHC AIRBORNE DIVISION,01082,,0,ABN,0MBNN,"",ABN,4,HCTL,HCTL,0,13,0,13,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,66.2,66.2,66.2,2147483647,9999
1:00HC,0,NO,STRAT,DST,18,NO,NO,46.2,30,0,1,0,AIRBORNE,5,ARMY,,"",,"",HHC AIRBORNE BRIGADE,01082,,0,ABN,3MBNN,"",ABN,4,HCTL,HCTL,0,14,0,14,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,46.2,46.2,46.2,2147483647,9999
1:00HDC,0,NO,STRAT,DST,18,NO,NO,285.9,0,0,0,1,AIRBORNE,5,ARMY,1:00HD,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,0,HCTL,HCTL,0,0,14,14,TMKH,ZBES,ZBES,"",NONE,0,14,15,NONE,Water,0,"",HNTS,HNTS,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,285.89996,285.89996,285.89996,2147483647,9999
1:00HDP,0,NO,STRAT,DST,18,NO,NO,.0,517,0,0,0,AIRBORNE,5,ARMY,1:00HD,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,0,HCTL,HCTL,0,15,0,15,TMKH,"",TMKH,"",NONE,0,14,15,Air,NONE,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00HE,0,NO,STRAT,DST,18,NO,NO,163.1,517,0,4,0,AIRBORNE,5,ARMY,,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,4,HCTL,HCTL,0,14,0,14,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,163.1,163.1,163.1,2147483647,9999
1:00HF,0,NO,STRAT,DST,18,NO,NO,161.5,517,0,4,0,AIRBORNE,5,ARMY,,"",,"",INF BN  ABN,01082,,0,ABN,0YSNN,"",ABN,4,HCTL,HCTL,0,14,0,14,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,161.5,161.5,161.5,2147483647,9999
1:00HG,0,NO,STRAT,DST,18,NO,NO,32.6,50,0,1,0,AIRBORNE,5,ARMY,,"",,"",ADA BTRY VUL/MPDS  ABN,01082,,0,ABN,1S7NN,"",ABN,4,HCTL,HCTL,0,15,0,15,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,32.6,32.6,32.6,2147483647,9999
1:00HK,0,NO,STRAT,DST,18,NO,NO,24.2,21,0,3,0,AIRBORNE,5,ARMY,,"",,"",MP COMPANY AIRBORNE DIV,01082,,0,ABN,QXTTT,"",ABN,4,HCTL,HCTL,0,15,0,15,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,24.2,24.2,24.2,2147483647,9999
1:00HL,0,NO,STRAT,DST,18,NO,NO,26.9,5,0,3,0,AIRBORNE,5,ARMY,,"",,"",MP COMPANY AIRBORNE DIV,01082,,0,ABN,QXTTT,"",ABN,4,HCTL,HCTL,0,15,0,15,TMKH,"",TMKH,"",NONE,0,12,15,Air,Air,0,FUQN,"",FUQN,18,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,26.900002,26.900002,26.900002,2147483647,9999
1:00JC,0,NO,STRAT,DST,27,NO,NO,254.5,0,0,0,1,AIRBORNE,5,ARMY,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,,0,ABN,2AAFF,"",ABN,5,HCTL,HCTL,0,0,16,16,TMKH,DKSD,DKSD,"",NONE,0,19,25,NONE,Water,0,"",HNTS,HNTS,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,254.5,254.5,254.5,2147483647,9999
1:00JCC,0,NO,STRAT,DST,27,NO,NO,19.1,20,0,0,0,AIRBORNE,5,ARMY,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,,0,ABN,2AAFF,"",ABN,11,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,25,Air,Air,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,19.1,19.1,19.1,2147483647,9999
1:00JCP,0,NO,STRAT,DST,27,NO,NO,.0,20,0,0,0,AIRBORNE,5,ARMY,1:00JC,"",,"",AR CO AR BN ABN DIV/SEPBD,01082,,0,ABN,2AAFF,"",ABN,11,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,25,Air,NONE,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00JD,0,NO,STRAT,DST,27,NO,NO,62.4,0,0,0,1,AIRBORNE,5,ARMY,,"",,"",FWD SPT CO ORD BN  ABN,01082,,0,ABN,HE6NN,"",ABN,5,HCTL,HCTL,0,0,14,14,TMKH,QTUP,QTUP,"",NONE,0,19,25,NONE,Water,50,"",APFD,APFD,27,OPA1,Tunisia,THEATER1,"",ABN,"",9999,62.399994,62.399994,62.399994,2147483647,9999
1:00JDA,0,NO,STRAT,DST,27,NO,NO,.0,52,0,0,0,AIRBORNE,5,ARMY,,"",,"",FWD SPT CO ORD BN  ABN,01082,,0,ABN,HE6NN,"",ABN,11,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,25,Air,NONE,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00JE,0,NO,STRAT,DST,27,NO,NO,21.4,23,0,1,0,AIRBORNE,5,ARMY,,"",,"",FWD SUP CO S T BN ABN DIV,01082,,0,ABN,JH5NN,"",ABN,11,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,25,Air,Air,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,21.400002,21.400002,21.400002,2147483647,9999
1:00JFA,0,NO,STRAT,DST,27,NO,NO,.0,52,0,0,0,AIRBORNE,5,ARMY,,"",,"",FWD SUP CO S T BN ABN DIV,01082,,0,ABN,JH5NN,"",ABN,11,HCTL,HCTL,0,19,0,19,TMKH,"",TMKH,"",NONE,0,19,25,Air,NONE,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:03AEC,0,NO,STRAT,DST,40,NO,NO,4244.9,0,0,0,1,ARMOR,6,ARMY,,"",,"",INF BN  MECH,00001,,0,1ME,05TTT,"",1ME,15,HFTZ,HFTZ,0,0,23,23,UHGN,QTUP,QTUP,"",NONE,0,35,40,NONE,Water,0,"",HNTS,HNTS,40,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,4244.8994,4244.8994,4244.8994,2147483647,9999
1:03AEP,0,NO,STRAT,DST,38,NO,NO,.0,821,0,0,0,ARMOR,6,ARMY,,"",,"",INF BN  MECH,00001,,0,1ME,05TTT,"",1ME,15,HFTZ,HFTZ,0,36,0,36,UHGN,"",UHGN,"",NONE,0,35,38,Air,NONE,0,FUQN,"",FUQN,38,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:03AFC,0,NO,STRAT,DST,40,NO,NO,4244.9,0,0,0,1,ARMOR,6,ARMY,,"",,"",INF BN  MECH,00001,,0,1ME,05TTT,"",1ME,15,HFTZ,HFTZ,0,0,22,22,UHGN,DKSD,DKSD,"",NONE,0,35,40,NONE,Water,0,"",VKNP,VKNP,40,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,4244.8994,4244.8994,4244.8994,2147483647,9999
1:03AFP,0,NO,STRAT,DST,38,NO,NO,.0,821,0,0,0,ARMOR,6,ARMY,,"",,"",INF BN  MECH,00001,,0,1ME,05TTT,"",1ME,15,HFTZ,HFTZ,0,37,0,37,UHGN,"",UHGN,"",NONE,0,35,38,Air,NONE,0,FUQN,"",FUQN,38,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:03AGC,0,NO,STRAT,DST,34,NO,NO,6415.9,0,0,0,3,ARMOR,6,ARMY,1:03AG,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,0,20,20,UHGN,DKSD,DKSD,"",NONE,0,28,33,NONE,Water,0,"",HNTS,HNTS,34,NWXN,Tunisia,THEATER1,"",MADANIYIN,"",9999,6415.899,6415.899,6415.899,2147483647,9999
1:03AGP,0,NO,STRAT,DST,34,NO,NO,.0,633,0,0,0,ARMOR,6,ARMY,1:03AG,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,28,0,28,UHGN,"",UHGN,"",NONE,0,28,33,Air,NONE,0,JEAH,"",JEAH,34,JEAH,Tunisia,THEATER1,"",JERBA-ZARZIS,"",9999,0,0,0,2147483647,9999
1:03AJC,0,NO,STRAT,DST,34,NO,NO,6415.9,0,0,0,3,ARMOR,6,ARMY,1:03AJ,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,0,14,14,UHGN,JTVH,JTVH,"",NONE,0,28,33,NONE,Water,0,"",VKNP,VKNP,34,NWXN,Tunisia,THEATER1,"",MADANIYIN,"",9999,6415.899,6415.899,6415.899,2147483647,9999
1:03AJP,0,NO,STRAT,DST,34,NO,NO,.0,633,0,0,0,ARMOR,6,ARMY,1:03AJ,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,29,0,29,UHGN,"",UHGN,"",NONE,0,28,33,Air,NONE,0,JEAH,"",JEAH,34,JEAH,Tunisia,THEATER1,"",JERBA-ZARZIS,"",9999,0,0,0,2147483647,9999
1:03AKC,0,NO,STRAT,DST,34,NO,NO,6415.9,0,0,0,3,ARMOR,6,ARMY,1:03AK,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,0,17,17,UHGN,QTUP,QTUP,"",NONE,0,28,33,NONE,Water,0,"",VKNP,VKNP,34,NWXN,Tunisia,THEATER1,"",MADANIYIN,"",9999,6415.899,6415.899,6415.899,2147483647,9999
1:03AKP,0,NO,STRAT,DST,34,NO,NO,.0,551,0,0,0,ARMOR,6,ARMY,1:03AK,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,30,0,30,UHGN,"",UHGN,"",NONE,0,28,33,Air,NONE,0,JEAH,"",JEAH,34,JEAH,Tunisia,THEATER1,"",JERBA-ZARZIS,"",9999,0,0,0,2147483647,9999
1:03AUC,0,NO,STRAT,DST,34,NO,NO,6415.9,0,0,0,3,ARMOR,6,ARMY,1:03AU,"",,"","TANK BATTALION, EQ/W, M6O",00001,,0,CTK,2JTTT,"",CTK,2,HFTZ,HFTZ,0,0,17,17,UHGN,QTUP,QTUP,"",NONE,0,28,33,NONE,Water,0,"",VKNP,VKNP,34,NWXN,Tunisia,THEATER1,"",MADANIYIN,"",9999,6415.899,6415.899,6415.899,2147483647,9999
