Key,Day,Enabled,Description,EventPhase,CommodityType,SchedDay,SchedEnabled,Intensity
ABN,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
ABN,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
ABN,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
ABN,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
ABN,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,0,true,RESERVE
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,20,true,LOW
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,30,true,INTENSE
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,45,true,LOW
THYNA-EL MAOU,0,true,,,GEN-AMMO,0,true,RESERVE
THYNA-EL MAOU,0,true,,,GEN-AMMO,20,true,LOW
THYNA-EL MAOU,0,true,,,GEN-AMMO,45,true,MODERATE
THYNA-EL MAOU,0,true,,,GEN-AMMO,55,true,LOW
THYNA-EL MAOU,0,true,,,GEN-AMMO,75,true,RESERVE
THYNA-EL MAOU,0,true,,,GEN-POL,0,true,RESERVE
THYNA-EL MAOU,0,true,,,GEN-POL,20,true,LOW
THYNA-EL MAOU,0,true,,,GEN-POL,30,true,INTENSE
THYNA-EL MAOU,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
THYNA-EL MAOU,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
THYNA-EL MAOU,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
THYNA-EL MAOU,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
THYNA-EL MAOU,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
MADANIYIN,0,true,,,GEN-RESUPPLY,0,true,RESERVE
MADANIYIN,0,true,,,GEN-RESUPPLY,20,true,LOW
MADANIYIN,0,true,,,GEN-RESUPPLY,30,true,INTENSE
MADANIYIN,0,true,,,GEN-RESUPPLY,45,true,LOW
MADANIYIN,0,true,,,GEN-AMMO,0,true,RESERVE
MADANIYIN,0,true,,,GEN-AMMO,20,true,LOW
MADANIYIN,0,true,,,GEN-AMMO,45,true,MODERATE
MADANIYIN,0,true,,,GEN-AMMO,55,true,LOW
MADANIYIN,0,true,,,GEN-AMMO,75,true,RESERVE
MADANIYIN,0,true,,,GEN-POL,0,true,RESERVE
MADANIYIN,0,true,,,GEN-POL,20,true,LOW
MADANIYIN,0,true,,,GEN-POL,30,true,INTENSE
MADANIYIN,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
MADANIYIN,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
MADANIYIN,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
MADANIYIN,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
MADANIYIN,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
GABES,0,true,,,GEN-RESUPPLY,0,true,RESERVE
GABES,0,true,,,GEN-RESUPPLY,20,true,LOW
GABES,0,true,,,GEN-RESUPPLY,30,true,INTENSE
GABES,0,true,,,GEN-RESUPPLY,45,true,LOW
GABES,0,true,,,GEN-AMMO,0,true,RESERVE
GABES,0,true,,,GEN-AMMO,20,true,LOW
GABES,0,true,,,GEN-AMMO,45,true,MODERATE
GABES,0,true,,,GEN-AMMO,55,true,LOW
GABES,0,true,,,GEN-AMMO,75,true,RESERVE
GABES,0,true,,,GEN-POL,0,true,RESERVE
GABES,0,true,,,GEN-POL,20,true,LOW
GABES,0,true,,,GEN-POL,30,true,INTENSE
GABES,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
GABES,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
GABES,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
GABES,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
GABES,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
GABES (HNTM),0,true,,,GEN-RESUPPLY,0,true,RESERVE
GABES (HNTM),0,true,,,GEN-RESUPPLY,20,true,LOW
GABES (HNTM),0,true,,,GEN-RESUPPLY,30,true,INTENSE
GABES (HNTM),0,true,,,GEN-RESUPPLY,45,true,LOW
GABES (HNTM),0,true,,,GEN-AMMO,0,true,RESERVE
GABES (HNTM),0,true,,,GEN-AMMO,20,true,LOW
GABES (HNTM),0,true,,,GEN-AMMO,45,true,MODERATE
GABES (HNTM),0,true,,,GEN-AMMO,55,true,LOW
GABES (HNTM),0,true,,,GEN-AMMO,75,true,RESERVE
GABES (HNTM),0,true,,,GEN-POL,0,true,RESERVE
GABES (HNTM),0,true,,,GEN-POL,20,true,LOW
GABES (HNTM),0,true,,,GEN-POL,30,true,INTENSE
GABES (HNTM),55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
GABES (HNTM),55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
GABES (HNTM),55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
GABES (HNTM),55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
GABES (HNTM),55,true,,Phase4:START,GEN-POL,55,true,INTENSE
SIGONELLA,0,true,,,GEN-RESUPPLY,0,true,RESERVE
SIGONELLA,0,true,,,GEN-RESUPPLY,20,true,LOW
SIGONELLA,0,true,,,GEN-RESUPPLY,30,true,INTENSE
SIGONELLA,0,true,,,GEN-RESUPPLY,45,true,LOW
SIGONELLA,0,true,,,GEN-AMMO,0,true,RESERVE
SIGONELLA,0,true,,,GEN-AMMO,20,true,LOW
SIGONELLA,0,true,,,GEN-AMMO,45,true,MODERATE
SIGONELLA,0,true,,,GEN-AMMO,55,true,LOW
SIGONELLA,0,true,,,GEN-AMMO,75,true,RESERVE
SIGONELLA,0,true,,,GEN-POL,0,true,RESERVE
SIGONELLA,0,true,,,GEN-POL,20,true,LOW
SIGONELLA,0,true,,,GEN-POL,30,true,INTENSE
SIGONELLA,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
SIGONELLA,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
SIGONELLA,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
SIGONELLA,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
SIGONELLA,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
SEABASE,0,true,,,GEN-RESUPPLY,0,true,RESERVE
SEABASE,0,true,,,GEN-RESUPPLY,20,true,LOW
SEABASE,0,true,,,GEN-RESUPPLY,30,true,INTENSE
SEABASE,0,true,,,GEN-RESUPPLY,45,true,LOW
SEABASE,0,true,,,GEN-AMMO,0,true,RESERVE
SEABASE,0,true,,,GEN-AMMO,20,true,LOW
SEABASE,0,true,,,GEN-AMMO,45,true,MODERATE
SEABASE,0,true,,,GEN-AMMO,55,true,LOW
SEABASE,0,true,,,GEN-AMMO,75,true,RESERVE
SEABASE,0,true,,,GEN-POL,0,true,RESERVE
SEABASE,0,true,,,GEN-POL,20,true,LOW
SEABASE,0,true,,,GEN-POL,30,true,INTENSE
SEABASE,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
SEABASE,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
SEABASE,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
SEABASE,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
SEABASE,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
GABES (HNTS),0,true,,,GEN-RESUPPLY,0,true,RESERVE
GABES (HNTS),0,true,,,GEN-RESUPPLY,20,true,LOW
GABES (HNTS),0,true,,,GEN-RESUPPLY,30,true,INTENSE
GABES (HNTS),0,true,,,GEN-RESUPPLY,45,true,LOW
GABES (HNTS),0,true,,,GEN-AMMO,0,true,RESERVE
GABES (HNTS),0,true,,,GEN-AMMO,20,true,LOW
GABES (HNTS),0,true,,,GEN-AMMO,45,true,MODERATE
GABES (HNTS),0,true,,,GEN-AMMO,55,true,LOW
GABES (HNTS),0,true,,,GEN-AMMO,75,true,RESERVE
GABES (HNTS),0,true,,,GEN-POL,0,true,RESERVE
GABES (HNTS),0,true,,,GEN-POL,20,true,LOW
GABES (HNTS),0,true,,,GEN-POL,30,true,INTENSE
GABES (HNTS),55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
GABES (HNTS),55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
GABES (HNTS),55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
GABES (HNTS),55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
GABES (HNTS),55,true,,Phase4:START,GEN-POL,55,true,INTENSE
BIR EL ATER,0,true,,,GEN-RESUPPLY,0,true,RESERVE
BIR EL ATER,0,true,,,GEN-RESUPPLY,20,true,LOW
BIR EL ATER,0,true,,,GEN-RESUPPLY,30,true,INTENSE
BIR EL ATER,0,true,,,GEN-RESUPPLY,45,true,LOW
BIR EL ATER,0,true,,,GEN-AMMO,0,true,RESERVE
BIR EL ATER,0,true,,,GEN-AMMO,20,true,LOW
BIR EL ATER,0,true,,,GEN-AMMO,45,true,MODERATE
BIR EL ATER,0,true,,,GEN-AMMO,55,true,LOW
BIR EL ATER,0,true,,,GEN-AMMO,75,true,RESERVE
BIR EL ATER,0,true,,,GEN-POL,0,true,RESERVE
BIR EL ATER,0,true,,,GEN-POL,20,true,LOW
BIR EL ATER,0,true,,,GEN-POL,30,true,INTENSE
BIR EL ATER,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
BIR EL ATER,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
BIR EL ATER,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
BIR EL ATER,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
BIR EL ATER,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
GAFSA,0,true,,,GEN-RESUPPLY,0,true,RESERVE
GAFSA,0,true,,,GEN-RESUPPLY,20,true,LOW
GAFSA,0,true,,,GEN-RESUPPLY,30,true,INTENSE
GAFSA,0,true,,,GEN-RESUPPLY,45,true,LOW
GAFSA,0,true,,,GEN-AMMO,0,true,RESERVE
GAFSA,0,true,,,GEN-AMMO,20,true,LOW
GAFSA,0,true,,,GEN-AMMO,45,true,MODERATE
GAFSA,0,true,,,GEN-AMMO,55,true,LOW
GAFSA,0,true,,,GEN-AMMO,75,true,RESERVE
GAFSA,0,true,,,GEN-POL,0,true,RESERVE
GAFSA,0,true,,,GEN-POL,20,true,LOW
GAFSA,0,true,,,GEN-POL,30,true,INTENSE
GAFSA,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
GAFSA,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
GAFSA,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
GAFSA,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
GAFSA,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
