Key,CommodityType,Day,Intensity
GABES (HNTS),GEN-POL,20,3
GABES (HNTS),GEN-POL,30,1
GAFSA,GEN-RESUPPLY,0,4
GAFSA,GEN-RESUPPLY,20,3
GAFSA,GEN-RESUPPLY,30,1
GAFSA,GEN-RESUPPLY,45,3
GAFSA,GEN-AMMO,0,4
GAFSA,GEN-AMMO,20,3
GAFSA,GEN-AMMO,45,2
GAFSA,GEN-AMMO,55,3
GAFSA,GEN-AMMO,75,4
GAFSA,GEN-POL,0,4
GAFSA,GEN-POL,20,3
GAFSA,GEN-POL,30,1
JERBA-ZARZIS,GEN-RESUPPLY,0,4
JERBA-ZARZIS,GEN-RESUPPLY,20,3
JERBA-ZARZIS,GEN-RESUPPLY,30,1
JERBA-ZARZIS,GEN-RESUPPLY,45,3
JERBA-ZARZIS,GEN-AMMO,0,4
JERBA-ZARZIS,GEN-AMMO,20,3
JERBA-ZARZIS,GEN-AMMO,45,2
JERBA-ZARZIS,GEN-AMMO,55,3
JERBA-ZARZIS,GEN-AMMO,75,4
JERBA-ZARZIS,GEN-POL,0,4
JERBA-ZARZIS,GEN-POL,20,3
JERBA-ZARZIS,GEN-POL,30,1
MADANIYIN,GEN-RESUPPLY,0,4
MADANIYIN,GEN-RESUPPLY,20,3
MADANIYIN,GEN-RESUPPLY,30,1
MADANIYIN,GEN-RESUPPLY,45,3
MADANIYIN,GEN-AMMO,0,4
MADANIYIN,GEN-AMMO,20,3
MADANIYIN,GEN-AMMO,45,2
MADANIYIN,GEN-AMMO,55,3
MADANIYIN,GEN-AMMO,75,4
MADANIYIN,GEN-POL,0,4
MADANIYIN,GEN-POL,20,3
MADANIYIN,GEN-POL,30,1
SEABASE,GEN-RESUPPLY,0,4
SEABASE,GEN-RESUPPLY,20,3
SEABASE,GEN-RESUPPLY,30,1
SEABASE,GEN-RESUPPLY,45,3
SEABASE,GEN-AMMO,0,4
SEABASE,GEN-AMMO,20,3
SEABASE,GEN-AMMO,45,2
SEABASE,GEN-AMMO,55,3
SEABASE,GEN-AMMO,75,4
SEABASE,GEN-POL,0,4
SEABASE,GEN-POL,20,3
SEABASE,GEN-POL,30,1
SFAX,GEN-RESUPPLY,0,4
SFAX,GEN-RESUPPLY,20,3
SFAX,GEN-RESUPPLY,30,1
SFAX,GEN-RESUPPLY,45,3
SFAX,GEN-AMMO,0,4
SFAX,GEN-AMMO,20,3
SFAX,GEN-AMMO,45,2
SFAX,GEN-AMMO,55,3
SFAX,GEN-AMMO,75,4
SFAX,GEN-POL,0,4
SFAX,GEN-POL,20,3
SFAX,GEN-POL,30,1
SIGONELLA,GEN-RESUPPLY,0,4
SIGONELLA,GEN-RESUPPLY,20,3
SIGONELLA,GEN-RESUPPLY,30,1
SIGONELLA,GEN-RESUPPLY,45,3
SIGONELLA,GEN-AMMO,0,4
SIGONELLA,GEN-AMMO,20,3
SIGONELLA,GEN-AMMO,45,2
SIGONELLA,GEN-AMMO,55,3
SIGONELLA,GEN-AMMO,75,4
SIGONELLA,GEN-POL,0,4
SIGONELLA,GEN-POL,20,3
SIGONELLA,GEN-POL,30,1
TEBESSA,GEN-RESUPPLY,0,4
TEBESSA,GEN-RESUPPLY,20,3
TEBESSA,GEN-RESUPPLY,30,1
TEBESSA,GEN-RESUPPLY,45,3
TEBESSA,GEN-AMMO,0,4
TEBESSA,GEN-AMMO,20,3
TEBESSA,GEN-AMMO,45,2
TEBESSA,GEN-AMMO,55,3
TEBESSA,GEN-AMMO,75,4
TEBESSA,GEN-POL,0,4
TEBESSA,GEN-POL,20,3
TEBESSA,GEN-POL,30,1
THYNA-EL MAOU,GEN-RESUPPLY,0,4
THYNA-EL MAOU,GEN-RESUPPLY,20,3
THYNA-EL MAOU,GEN-RESUPPLY,30,1
THYNA-EL MAOU,GEN-RESUPPLY,45,3
THYNA-EL MAOU,GEN-AMMO,0,4
THYNA-EL MAOU,GEN-AMMO,20,3
THYNA-EL MAOU,GEN-AMMO,45,2
THYNA-EL MAOU,GEN-AMMO,55,3
THYNA-EL MAOU,GEN-AMMO,75,4
THYNA-EL MAOU,GEN-POL,0,4
THYNA-EL MAOU,GEN-POL,20,3
THYNA-EL MAOU,GEN-POL,30,1
