Airport,B-747P,KC-10,CH47,C-5A,C-17
DESR,BOTH,BOTH,BOTH,BOTH,BOTH
DGAB,BOTH,BOTH,BOTH,BOTH,BOTH
DJCF,BOTH,BOTH,BOTH,BOTH,BOTH
DKFX,BOTH,BOTH,BOTH,BOTH,BOTH
DNNH,BOTH,BOTH,BOTH,BOTH,BOTH
DNNL,BOTH,BOTH,BOTH,BOTH,BOTH
DPEZ,BOTH,BOTH,BOTH,BOTH,BOTH
DPMZ,BOTH,BOTH,BOTH,BOTH,BOTH
DPNB,BOTH,BOTH,BOTH,BOTH,BOTH
DTVB,BOTH,BOTH,BOTH,BOTH,BOTH
DVLK,BOTH,BOTH,BOTH,BOTH,BOTH
DYCS,BOTH,BOTH,BOTH,BOTH,BOTH
EAZP,BOTH,BOTH,BOTH,BOTH,BOTH
EDWC,BOTH,BOTH,BOTH,BOTH,BOTH
EEMW,BOTH,BOTH,BOTH,BOTH,BOTH
EEPZ,BOTH,BOTH,BOTH,BOTH,BOTH
ENCK,BOTH,BOTH,BOTH,BOTH,BOTH
EQDF,BOTH,BOTH,BOTH,BOTH,BOTH
ETZB,BOTH,BOTH,BOTH,BOTH,BOTH
EUBC,BOTH,BOTH,BOTH,BOTH,BOTH
EYBD,BOTH,BOTH,BOTH,BOTH,BOTH
EZSE,BOTH,BOTH,BOTH,BOTH,BOTH
EZTH,BOTH,BOTH,BOTH,BOTH,BOTH
FAKZ,BOTH,BOTH,BOTH,BOTH,BOTH
FAXN,BOTH,BOTH,BOTH,BOTH,BOTH
FBMV,BOTH,BOTH,BOTH,BOTH,BOTH
FBNV,BOTH,BOTH,BOTH,BOTH,BOTH
FERX,BOTH,BOTH,BOTH,BOTH,BOTH
FFAR,BOTH,BOTH,BOTH,BOTH,BOTH
FGDC,BOTH,BOTH,BOTH,BOTH,BOTH
FGTZ,BOTH,BOTH,BOTH,BOTH,BOTH
FGWB,BOTH,BOTH,BOTH,BOTH,BOTH
FJMK,BOTH,BOTH,BOTH,BOTH,BOTH
FJRP,BOTH,BOTH,BOTH,BOTH,BOTH
FJXT,BOTH,BOTH,BOTH,BOTH,BOTH
FKNN,BOTH,BOTH,BOTH,BOTH,BOTH
FMJN,BOTH,BOTH,BOTH,BOTH,BOTH
FMLH,BOTH,BOTH,BOTH,BOTH,BOTH
FNWZ,BOTH,BOTH,BOTH,BOTH,BOTH
FPAA,BOTH,BOTH,BOTH,BOTH,BOTH
FSJA,BOTH,BOTH,BOTH,BOTH,BOTH
FSPM,BOTH,BOTH,BOTH,BOTH,BOTH
FTEP,BOTH,BOTH,BOTH,BOTH,BOTH
FTEV,BOTH,BOTH,BOTH,BOTH,BOTH
FTFA,BOTH,BOTH,BOTH,BOTH,BOTH
FTQW,BOTH,BOTH,BOTH,BOTH,BOTH
FTZH,BOTH,BOTH,BOTH,BOTH,BOTH
FUQN,BOTH,BOTH,BOTH,BOTH,BOTH
FUTL,BOTH,BOTH,BOTH,BOTH,BOTH
FUZD,BOTH,BOTH,BOTH,BOTH,BOTH
FWJH,BOTH,BOTH,BOTH,BOTH,BOTH
FXBM,BOTH,BOTH,BOTH,BOTH,BOTH
FXSB,BOTH,BOTH,BOTH,BOTH,BOTH
GAMH,BOTH,BOTH,BOTH,BOTH,BOTH
GEQZ,BOTH,BOTH,BOTH,BOTH,BOTH
GHLN,BOTH,BOTH,BOTH,BOTH,BOTH
GJFZ,BOTH,BOTH,BOTH,BOTH,BOTH
GJKZ,BOTH,BOTH,BOTH,BOTH,BOTH
GKVB,BOTH,BOTH,BOTH,BOTH,BOTH
GLEN,BOTH,BOTH,BOTH,BOTH,BOTH
GLRZ,BOTH,BOTH,BOTH,BOTH,BOTH
GPGK,BOTH,BOTH,BOTH,BOTH,BOTH
GRAQ,BOTH,BOTH,BOTH,BOTH,BOTH
GUQE,BOTH,BOTH,BOTH,BOTH,BOTH
GWAW,BOTH,BOTH,BOTH,BOTH,BOTH
GWDD,BOTH,BOTH,BOTH,BOTH,BOTH
GYRZ,BOTH,BOTH,BOTH,BOTH,BOTH
HAWR,BOTH,BOTH,BOTH,BOTH,BOTH
HAYW,BOTH,BOTH,BOTH,BOTH,BOTH
HBFB,BOTH,BOTH,BOTH,BOTH,BOTH
HFZY,BOTH,BOTH,BOTH,BOTH,BOTH
HGQC,BOTH,BOTH,BOTH,BOTH,BOTH
HKRZ,BOTH,BOTH,BOTH,BOTH,BOTH
HNTK,BOTH,BOTH,BOTH,BOTH,BOTH
HPBF,BOTH,BOTH,BOTH,BOTH,BOTH
HSKD,BOTH,BOTH,BOTH,BOTH,BOTH
HTUV,BOTH,BOTH,BOTH,BOTH,BOTH
HTUX,BOTH,BOTH,BOTH,BOTH,BOTH
HUUA,BOTH,BOTH,BOTH,BOTH,BOTH
HXCZ,BOTH,BOTH,BOTH,BOTH,BOTH
JAFZ,BOTH,BOTH,BOTH,BOTH,BOTH
JBUU,BOTH,BOTH,BOTH,BOTH,BOTH
JCGU,BOTH,BOTH,BOTH,BOTH,BOTH
JEAH,BOTH,BOTH,BOTH,BOTH,BOTH
JFSD,BOTH,BOTH,BOTH,BOTH,BOTH
JHPM,BOTH,BOTH,BOTH,BOTH,BOTH
JHVQ,BOTH,BOTH,BOTH,BOTH,BOTH
JKSE,BOTH,BOTH,BOTH,BOTH,BOTH
JLQN,BOTH,BOTH,BOTH,BOTH,BOTH
JLSN,BOTH,BOTH,BOTH,BOTH,BOTH
JLSS,BOTH,BOTH,BOTH,BOTH,BOTH
JLWS,BOTH,BOTH,BOTH,BOTH,BOTH
JPNN,BOTH,BOTH,BOTH,BOTH,BOTH
JPPK,BOTH,BOTH,BOTH,BOTH,BOTH
JQMA,BOTH,BOTH,BOTH,BOTH,BOTH
JREZ,BOTH,BOTH,BOTH,BOTH,BOTH
JTVE,BOTH,BOTH,BOTH,BOTH,BOTH
JUBJ,BOTH,BOTH,BOTH,BOTH,BOTH
JXPJ,BOTH,BOTH,BOTH,BOTH,BOTH
KBHT,BOTH,BOTH,BOTH,BOTH,BOTH
KEAQ,BOTH,BOTH,BOTH,BOTH,BOTH
KJGW,BOTH,BOTH,BOTH,BOTH,BOTH
KKGA,BOTH,BOTH,BOTH,BOTH,BOTH
KLZU,BOTH,BOTH,BOTH,BOTH,BOTH
KNMD,BOTH,BOTH,BOTH,BOTH,BOTH
KRSM,BOTH,BOTH,BOTH,BOTH,BOTH
KWRD,BOTH,BOTH,BOTH,BOTH,BOTH
KXPD,BOTH,BOTH,BOTH,BOTH,BOTH
KYJL,BOTH,BOTH,BOTH,BOTH,BOTH
KZTV,BOTH,BOTH,BOTH,BOTH,BOTH
KZVP,BOTH,BOTH,BOTH,BOTH,BOTH
LDXF,BOTH,BOTH,BOTH,BOTH,BOTH
LEXG,BOTH,BOTH,BOTH,BOTH,BOTH
LFSU,BOTH,BOTH,BOTH,BOTH,BOTH
LHNZ,BOTH,BOTH,BOTH,BOTH,BOTH
LKLW,BOTH,BOTH,BOTH,BOTH,BOTH
LKTC,BOTH,BOTH,BOTH,BOTH,BOTH
LLFN,BOTH,BOTH,BOTH,BOTH,BOTH
LRXQ,BOTH,BOTH,BOTH,BOTH,BOTH
LSBC,BOTH,BOTH,BOTH,BOTH,BOTH
LSGA,BOTH,BOTH,BOTH,BOTH,BOTH
LSGE,BOTH,BOTH,BOTH,BOTH,BOTH
LTUY,BOTH,BOTH,BOTH,BOTH,BOTH
LTYB,BOTH,BOTH,BOTH,BOTH,BOTH
LUXC,BOTH,BOTH,BOTH,BOTH,BOTH
LVDB,BOTH,BOTH,BOTH,BOTH,BOTH
LVQX,BOTH,BOTH,BOTH,BOTH,BOTH
LVSH,BOTH,BOTH,BOTH,BOTH,BOTH
LWRC,BOTH,BOTH,BOTH,BOTH,BOTH
LXEZ,BOTH,BOTH,BOTH,BOTH,BOTH
LYAX,BOTH,BOTH,BOTH,BOTH,BOTH
LYBH,BOTH,BOTH,BOTH,BOTH,BOTH
LYNM,BOTH,BOTH,BOTH,BOTH,BOTH
MAHG,BOTH,BOTH,BOTH,BOTH,BOTH
MBMV,BOTH,BOTH,BOTH,BOTH,BOTH
MBPB,BOTH,BOTH,BOTH,BOTH,BOTH
MDVL,BOTH,BOTH,BOTH,BOTH,BOTH
MDWY,BOTH,BOTH,BOTH,BOTH,BOTH
MEAN,BOTH,BOTH,BOTH,BOTH,BOTH
MEPJ,BOTH,BOTH,BOTH,BOTH,BOTH
MFWM,BOTH,BOTH,BOTH,BOTH,BOTH
MHMV,BOTH,BOTH,BOTH,BOTH,BOTH
MJDH,BOTH,BOTH,BOTH,BOTH,BOTH
MLRV,BOTH,BOTH,BOTH,BOTH,BOTH
MNWA,BOTH,BOTH,BOTH,BOTH,BOTH
MPCP,BOTH,BOTH,BOTH,BOTH,BOTH
MPLS,BOTH,BOTH,BOTH,BOTH,BOTH
MQNA,BOTH,BOTH,BOTH,BOTH,BOTH
MSET,BOTH,BOTH,BOTH,BOTH,BOTH
MSQB,BOTH,BOTH,BOTH,BOTH,BOTH
MTET,BOTH,BOTH,BOTH,BOTH,BOTH
MUHJ,BOTH,BOTH,BOTH,BOTH,BOTH
MXDP,BOTH,BOTH,BOTH,BOTH,BOTH
MXRD,BOTH,BOTH,BOTH,BOTH,BOTH
MYMW,BOTH,BOTH,BOTH,BOTH,BOTH
MYXZ,BOTH,BOTH,BOTH,BOTH,BOTH
NCBW,BOTH,BOTH,BOTH,BOTH,BOTH
NEWR,BOTH,BOTH,BOTH,BOTH,BOTH
NEYU,BOTH,BOTH,BOTH,BOTH,BOTH
NGCB,BOTH,BOTH,BOTH,BOTH,BOTH
NGWV,BOTH,BOTH,BOTH,BOTH,BOTH
NKAK,BOTH,BOTH,BOTH,BOTH,BOTH
NLZG,BOTH,BOTH,BOTH,BOTH,BOTH
NNGX,BOTH,BOTH,BOTH,BOTH,BOTH
NPTM,BOTH,BOTH,BOTH,BOTH,BOTH
NPTN,BOTH,BOTH,BOTH,BOTH,BOTH
NRCH,BOTH,BOTH,BOTH,BOTH,BOTH
NRTX,BOTH,BOTH,BOTH,BOTH,BOTH
NSAG,BOTH,BOTH,BOTH,BOTH,BOTH
NSQG,BOTH,BOTH,BOTH,BOTH,BOTH
NTEA,BOTH,BOTH,BOTH,BOTH,BOTH
NTWM,BOTH,BOTH,BOTH,BOTH,BOTH
NUEX,BOTH,BOTH,BOTH,BOTH,BOTH
NVZR,BOTH,BOTH,BOTH,BOTH,BOTH
NWXN,BOTH,BOTH,BOTH,BOTH,BOTH
NYJY,BOTH,BOTH,BOTH,BOTH,BOTH
NZAS,BOTH,BOTH,BOTH,BOTH,BOTH
OPA1,BOTH,BOTH,BOTH,BOTH,BOTH
PBXP,BOTH,BOTH,BOTH,BOTH,BOTH
PCZP,BOTH,BOTH,BOTH,BOTH,BOTH
PHMS,BOTH,BOTH,BOTH,BOTH,BOTH
PJFS,BOTH,BOTH,BOTH,BOTH,BOTH
PJMS,BOTH,BOTH,BOTH,BOTH,BOTH
PJVY,BOTH,BOTH,BOTH,BOTH,BOTH
PLXL,BOTH,BOTH,BOTH,BOTH,BOTH
PNQS,BOTH,BOTH,BOTH,BOTH,BOTH
PPSB,BOTH,BOTH,BOTH,BOTH,BOTH
PQSY,BOTH,BOTH,BOTH,BOTH,BOTH
PQWY,BOTH,BOTH,BOTH,BOTH,BOTH
PRJY,BOTH,BOTH,BOTH,BOTH,BOTH
PRNG,BOTH,BOTH,BOTH,BOTH,BOTH
PRQE,BOTH,BOTH,BOTH,BOTH,BOTH
PSAX,BOTH,BOTH,BOTH,BOTH,BOTH
PSBE,BOTH,BOTH,BOTH,BOTH,BOTH
PSTE,BOTH,BOTH,BOTH,BOTH,BOTH
PSXE,BOTH,BOTH,BOTH,BOTH,BOTH
PTFL,BOTH,BOTH,BOTH,BOTH,BOTH
PUBW,BOTH,BOTH,BOTH,BOTH,BOTH
PYGY,BOTH,BOTH,BOTH,BOTH,BOTH
PYKL,BOTH,BOTH,BOTH,BOTH,BOTH
PYVR,BOTH,BOTH,BOTH,BOTH,BOTH
QALG,BOTH,BOTH,BOTH,BOTH,BOTH
QCFE,BOTH,BOTH,BOTH,BOTH,BOTH
QCQQ,BOTH,BOTH,BOTH,BOTH,BOTH
QFQE,BOTH,BOTH,BOTH,BOTH,BOTH
QJKL,BOTH,BOTH,BOTH,BOTH,BOTH
QJVF,BOTH,BOTH,BOTH,BOTH,BOTH
QJWG,BOTH,BOTH,BOTH,BOTH,BOTH
QKJA,BOTH,BOTH,BOTH,BOTH,BOTH
QMSN,BOTH,BOTH,BOTH,BOTH,BOTH
QNVA,BOTH,BOTH,BOTH,BOTH,BOTH
QRAW,BOTH,BOTH,BOTH,BOTH,BOTH
QSEU,BOTH,BOTH,BOTH,BOTH,BOTH
QTXL,BOTH,BOTH,BOTH,BOTH,BOTH
QYZH,BOTH,BOTH,BOTH,BOTH,BOTH
RDRD,BOTH,BOTH,BOTH,BOTH,BOTH
REAG,BOTH,BOTH,BOTH,BOTH,BOTH
RJVF,BOTH,BOTH,BOTH,BOTH,BOTH
RKMF,BOTH,BOTH,BOTH,BOTH,BOTH
RPYA,BOTH,BOTH,BOTH,BOTH,BOTH
RQMN,BOTH,BOTH,BOTH,BOTH,BOTH
RQNA,BOTH,BOTH,BOTH,BOTH,BOTH
RQWP,BOTH,BOTH,BOTH,BOTH,BOTH
RRPQ,BOTH,BOTH,BOTH,BOTH,BOTH
RVKQ,BOTH,BOTH,BOTH,BOTH,BOTH
RZQH,BOTH,BOTH,BOTH,BOTH,BOTH
SACB,BOTH,BOTH,BOTH,BOTH,BOTH
SAEJ,BOTH,BOTH,BOTH,BOTH,BOTH
SBDQ,BOTH,BOTH,BOTH,BOTH,BOTH
SBDW,BOTH,BOTH,BOTH,BOTH,BOTH
SCEY,BOTH,BOTH,BOTH,BOTH,BOTH
SEA1,BOTH,BOTH,BOTH,BOTH,BOTH
SFPH,BOTH,BOTH,BOTH,BOTH,BOTH
SGBP,BOTH,BOTH,BOTH,BOTH,BOTH
SGPA,BOTH,BOTH,BOTH,BOTH,BOTH
SHA5,BOTH,BOTH,BOTH,BOTH,BOTH
SHAR,BOTH,BOTH,BOTH,BOTH,BOTH
SHCZ,BOTH,BOTH,BOTH,BOTH,BOTH
SHYQ,BOTH,BOTH,BOTH,BOTH,BOTH
SKKA,BOTH,BOTH,BOTH,BOTH,BOTH
SMYU,BOTH,BOTH,BOTH,BOTH,BOTH
SPBN,BOTH,BOTH,BOTH,BOTH,BOTH
STDF,BOTH,BOTH,BOTH,BOTH,BOTH
STRL,BOTH,BOTH,BOTH,BOTH,BOTH
STXG,BOTH,BOTH,BOTH,BOTH,BOTH
SXHT,BOTH,BOTH,BOTH,BOTH,BOTH
SYCM,BOTH,BOTH,BOTH,BOTH,BOTH
SZDT,BOTH,BOTH,BOTH,BOTH,BOTH
SZTN,BOTH,BOTH,BOTH,BOTH,BOTH
TAXU,BOTH,BOTH,BOTH,BOTH,BOTH
TDHV,BOTH,BOTH,BOTH,BOTH,BOTH
TDKA,BOTH,BOTH,BOTH,BOTH,BOTH
TDXG,BOTH,BOTH,BOTH,BOTH,BOTH
TFMT,BOTH,BOTH,BOTH,BOTH,BOTH
THWA,BOTH,BOTH,BOTH,BOTH,BOTH
TKXA,BOTH,BOTH,BOTH,BOTH,BOTH
TMKH,BOTH,BOTH,BOTH,BOTH,BOTH
TPAL,BOTH,BOTH,BOTH,BOTH,BOTH
TQKD,BOTH,BOTH,BOTH,BOTH,BOTH
TWAC,BOTH,BOTH,BOTH,BOTH,BOTH
TWLR,BOTH,BOTH,BOTH,BOTH,BOTH
TXCE,BOTH,BOTH,BOTH,BOTH,BOTH
TYFR,BOTH,BOTH,BOTH,BOTH,BOTH
TYMX,BOTH,BOTH,BOTH,BOTH,BOTH
UABY,BOTH,BOTH,BOTH,BOTH,BOTH
UBHP,BOTH,BOTH,BOTH,BOTH,BOTH
UBNS,BOTH,BOTH,BOTH,BOTH,BOTH
UCTL,BOTH,BOTH,BOTH,BOTH,BOTH
UEBL,BOTH,BOTH,BOTH,BOTH,BOTH
UGCF,BOTH,BOTH,BOTH,BOTH,BOTH
UGZX,BOTH,BOTH,BOTH,BOTH,BOTH
UHCE,BOTH,BOTH,BOTH,BOTH,BOTH
UHGN,BOTH,BOTH,BOTH,BOTH,BOTH
UHHZ,BOTH,BOTH,BOTH,BOTH,BOTH
ULLT,BOTH,BOTH,BOTH,BOTH,BOTH
ULYB,BOTH,BOTH,BOTH,BOTH,BOTH
UMLH,BOTH,BOTH,BOTH,BOTH,BOTH
UMXB,BOTH,BOTH,BOTH,BOTH,BOTH
USEB,BOTH,BOTH,BOTH,BOTH,BOTH
USQP,BOTH,BOTH,BOTH,BOTH,BOTH
UTKY,BOTH,BOTH,BOTH,BOTH,BOTH
UTSE,BOTH,BOTH,BOTH,BOTH,BOTH
UWDE,BOTH,BOTH,BOTH,BOTH,BOTH
UWDG,BOTH,BOTH,BOTH,BOTH,BOTH
UZXM,BOTH,BOTH,BOTH,BOTH,BOTH
UZYJ,BOTH,BOTH,BOTH,BOTH,BOTH
VBDZ,BOTH,BOTH,BOTH,BOTH,BOTH
VDYD,BOTH,BOTH,BOTH,BOTH,BOTH
VFUL,BOTH,BOTH,BOTH,BOTH,BOTH
VFZM,BOTH,BOTH,BOTH,BOTH,BOTH
VGHV,BOTH,BOTH,BOTH,BOTH,BOTH
VGLZ,BOTH,BOTH,BOTH,BOTH,BOTH
VHRJ,BOTH,BOTH,BOTH,BOTH,BOTH
VKAG,BOTH,BOTH,BOTH,BOTH,BOTH
VLSB,BOTH,BOTH,BOTH,BOTH,BOTH
VNVP,BOTH,BOTH,BOTH,BOTH,BOTH
VRJT,BOTH,BOTH,BOTH,BOTH,BOTH
VSFP,BOTH,BOTH,BOTH,BOTH,BOTH
VSMR,BOTH,BOTH,BOTH,BOTH,BOTH
VSSB,BOTH,BOTH,BOTH,BOTH,BOTH
VTNB,BOTH,BOTH,BOTH,BOTH,BOTH
VUKL,BOTH,BOTH,BOTH,BOTH,BOTH
VVRK,BOTH,BOTH,BOTH,BOTH,BOTH
VWLB,BOTH,BOTH,BOTH,BOTH,BOTH
VXTM,BOTH,BOTH,BOTH,BOTH,BOTH
VYFJ,BOTH,BOTH,BOTH,BOTH,BOTH
VYHK,BOTH,BOTH,BOTH,BOTH,BOTH
VZAS,BOTH,BOTH,BOTH,BOTH,BOTH
VZBT,BOTH,BOTH,BOTH,BOTH,BOTH
VZCR,BOTH,BOTH,BOTH,BOTH,BOTH
VZXY,BOTH,BOTH,BOTH,BOTH,BOTH
WAAR,BOTH,BOTH,BOTH,BOTH,BOTH
WAAZ,BOTH,BOTH,BOTH,BOTH,BOTH
WEAS,BOTH,BOTH,BOTH,BOTH,BOTH
WERS,BOTH,BOTH,BOTH,BOTH,BOTH
WFGE,BOTH,BOTH,BOTH,BOTH,BOTH
WHAY,BOTH,BOTH,BOTH,BOTH,BOTH
WJAE,BOTH,BOTH,BOTH,BOTH,BOTH
WKVB,BOTH,BOTH,BOTH,BOTH,BOTH
WRLK,BOTH,BOTH,BOTH,BOTH,BOTH
WSVC,BOTH,BOTH,BOTH,BOTH,BOTH
WWYK,BOTH,BOTH,BOTH,BOTH,BOTH
WYTD,BOTH,BOTH,BOTH,BOTH,BOTH
XBGX,BOTH,BOTH,BOTH,BOTH,BOTH
XCQN,BOTH,BOTH,BOTH,BOTH,BOTH
XDAT,BOTH,BOTH,BOTH,BOTH,BOTH
XDQU,BOTH,BOTH,BOTH,BOTH,BOTH
XGFG,BOTH,BOTH,BOTH,BOTH,BOTH
XHEA,BOTH,BOTH,BOTH,BOTH,BOTH
XHZG,BOTH,BOTH,BOTH,BOTH,BOTH
XJJD,BOTH,BOTH,BOTH,BOTH,BOTH
XLEW,BOTH,BOTH,BOTH,BOTH,BOTH
XLWU,BOTH,BOTH,BOTH,BOTH,BOTH
XNSM,BOTH,BOTH,BOTH,BOTH,BOTH
XQDT,BOTH,BOTH,BOTH,BOTH,BOTH
XTBT,BOTH,BOTH,BOTH,BOTH,BOTH
XTLF,BOTH,BOTH,BOTH,BOTH,BOTH
XUMU,BOTH,BOTH,BOTH,BOTH,BOTH
XZPR,BOTH,BOTH,BOTH,BOTH,BOTH
YAQF,BOTH,BOTH,BOTH,BOTH,BOTH
YEQW,BOTH,BOTH,BOTH,BOTH,BOTH
YFXQ,BOTH,BOTH,BOTH,BOTH,BOTH
YMGC,BOTH,BOTH,BOTH,BOTH,BOTH
YMXZ,BOTH,BOTH,BOTH,BOTH,BOTH
YRLZ,BOTH,BOTH,BOTH,BOTH,BOTH
YTPM,BOTH,BOTH,BOTH,BOTH,BOTH
YUAC,BOTH,BOTH,BOTH,BOTH,BOTH
YVEW,BOTH,BOTH,BOTH,BOTH,BOTH
YVGQ,BOTH,BOTH,BOTH,BOTH,BOTH
YVPG,BOTH,BOTH,BOTH,BOTH,BOTH
YWHG,BOTH,BOTH,BOTH,BOTH,BOTH
YXKB,BOTH,BOTH,BOTH,BOTH,BOTH
YZEU,BOTH,BOTH,BOTH,BOTH,BOTH
YZJU,BOTH,BOTH,BOTH,BOTH,BOTH
ZAWN,BOTH,BOTH,BOTH,BOTH,BOTH
ZFKN,BOTH,BOTH,BOTH,BOTH,BOTH
ZHAH,BOTH,BOTH,BOTH,BOTH,BOTH
ZHTV,BOTH,BOTH,BOTH,BOTH,BOTH
ZJXD,BOTH,BOTH,BOTH,BOTH,BOTH
ZLJP,BOTH,BOTH,BOTH,BOTH,BOTH
ZNRE,BOTH,BOTH,BOTH,BOTH,BOTH
ZQEL,BOTH,BOTH,BOTH,BOTH,BOTH
ZRCE,BOTH,BOTH,BOTH,BOTH,BOTH
ZRUZ,BOTH,BOTH,BOTH,BOTH,BOTH
ZRVL,BOTH,BOTH,BOTH,BOTH,BOTH
