Type,Name,Theater,SupplyClassNumber,SubClass,FuelClass,Intensity1Rate,Intensity2Rate,Intensity3Rate,Intensity4Rate
AIR,B00002,1,9,"","",1.503,3.727,10.342,3.509
AIR,B00002,3,3,A,JP8,5585.314,7495.512,2633.721,4345.937
AIR,B00002,3,7,"","",6.93,1.153,10.123,2.681
AIR,B00002,3,9,"","",25.969,20.613,9.691,5.504
AIR,B0001B,1,3,A,JP8,2301.858,3302.891,5784.346,776.03
AIR,B0001B,1,7,"","",22.638,5.837,7.914,4.975
AIR,B0001B,1,9,"","",27.27,5.734,14.71,2.977
AIR,B0001B,3,3,A,JP8,6561.722,8824.954,6332.399,2122.984
AIR,B0001B,3,7,"","",5.063,8.022,0.142,4.246
AIR,B0001B,3,9,"","",27.403,19.819,1.931,1.476
AIR,B00052,1,3,A,JP8,14411.381,17309.844,1912.406,1923.978
AIR,B00052,1,7,"","",51.573,1.763,38.992,29.353
AIR,B00052,1,9,"","",29.446,1.512,23.039,6.812
AIR,B00052,3,3,A,JP8,16886.664,9165.079,4998.466,5838.674
AIR,B00052,3,7,"","",2.397,42.511,21.292,1.191
AIR,B00052,3,9,"","",26.598,3.978,14.662,2.447
AIR,B0052H,1,3,A,JP8,19848.799,8915.632,5943.267,3624.057
AIR,B0052H,1,7,"","",46.2,78.801,54.82,25.043
AIR,B0052H,1,9,"","",50.451,17.049,11.735,2.68
AIR,B0052H,3,3,A,JP8,13230.051,6299.687,6268.792,8335.366
AIR,B0052H,3,7,"","",131.739,70.497,32.5,9.176
AIR,B0052H,3,9,"","",13.412,12.191,21.689,2.113
AIR,C0009A,1,3,A,JP8,2850.572,5880.401,2126.284,988.514
AIR,C0009A,1,7,"","",5.71,1.089,2.552,1.122
AIR,C0009A,1,9,"","",1.03,0.475,0.671,0.035
AIR,C0009A,3,3,A,JP8,5502.454,4967.366,2079.783,2403.932
AIR,C0009A,3,7,"","",8.044,4.328,1.898,1.174
AIR,C0009A,3,9,"","",1.402,1.398,0.128,0.165
AIR,C0012F,1,3,A,JP8,33.698,16.166,46.566,81.719
AIR,C0012F,1,7,"","",0.207,0.438,0.256,0.187
AIR,C0012F,1,9,"","",0.026,0.004,0.012,0.009
AIR,C0012F,3,3,A,JP8,136.009,199.098,154.337,39.973
AIR,C0012F,3,7,"","",0.566,0.082,0.535,0.046
AIR,C0012F,3,9,"","",0.049,0.018,0.015,0.009
AIR,C0021A,1,3,A,JP8,672.689,51.755,276.622,169.475
AIR,C0021A,1,7,"","",0.581,0.778,0.028,0.154
AIR,C0021A,1,9,"","",0.01,0.007,0.013,0.009
AIR,C0021A,3,3,A,JP8,883.409,31.427,326.663,300.161
AIR,C0021A,3,7,"","",0.77,0.855,0.28,0.251
AIR,C0021A,3,9,"","",0.009,0.012,0.009,0.003
AIR,C0027A,1,3,A,JP8,408.544,272.221,71.278,76.838
AIR,C0027A,1,7,"","",0,0,0,0
AIR,C0027A,1,9,"","",0.166,0.123,0.065,0.013
AIR,C0027A,3,3,A,JP8,285.047,307.674,101.311,213.46
AIR,C0027A,3,7,"","",0,0,0,0
AIR,C0027A,3,9,"","",0.202,0.019,0.085,0.02
AIR,C0130E,1,3,A,JP8,2482.022,561.43,574.594,181.123
AIR,C0130E,1,7,"","",11.416,6.874,1.671,1.789
AIR,C0130E,1,9,"","",21.224,18.142,77.292,19.173
AIR,C0130E,3,3,A,JP8,1428.546,636.984,345.536,792.075
AIR,C0130E,3,7,"","",12.406,4.333,2.514,0.769
AIR,C0130E,3,9,"","",129.562,10.788,43.822,3.715
AIR,C0130H,1,3,A,JP8,3498.211,1220.042,184.557,446.243
AIR,C0130H,1,7,"","",7.756,0.899,0.104,0.107
AIR,C0130H,1,9,"","",11.436,44.557,11.96,7.697
AIR,C0130H,3,3,A,JP8,1705.035,1893.46,1423.641,731.388
AIR,C0130H,3,7,"","",8.321,5.775,3.733,0.188
AIR,C0130H,3,9,"","",50.116,27.775,15.796,9.06
AIR,CV0022,1,3,A,JP8,262.103,143.614,393.072,50.081
AIR,CV0022,1,7,"","",0.009,0.092,0.201,0.061
AIR,CV0022,1,9,"","",4.778,5.705,1.031,1.757
AIR,CV0022,3,3,A,JP8,24.549,661.788,92.074,92.305
AIR,CV0022,3,7,"","",0.209,0.041,0.057,0.088
AIR,CV0022,3,9,"","",7.157,6.308,0.658,2.764
AIR,E00003,1,3,A,JP8,10055.894,3322.712,473.768,2679.885
AIR,E00003,1,7,"","",98.13,14.607,19.772,20.701
AIR,E00003,1,9,"","",1.579,8.783,16.017,1.255
AIR,E00003,3,3,A,JP8,4467.244,3280.581,0.098,4195.673
AIR,E00003,3,7,"","",19.635,13.92,28.267,6.02
AIR,E00003,3,9,"","",12.484,8.302,18.64,1.47
AIR,E0008C,1,3,A,JP8,13284.225,5654.781,210.981,372.545
AIR,E0008C,1,7,"","",62.219,36.019,6.038,21.753
AIR,E0008C,1,9,"","",52.79,8.616,6.458,7.773
AIR,E0008C,3,3,A,JP8,4675.902,552.83,2622.224,4910.213
AIR,E0008C,3,7,"","",81.169,73.535,20.928,0.67
AIR,E0008C,3,9,"","",34.42,2.048,27.393,2.072
AIR,EC130E,1,3,A,JP8,1389.454,2086.79,1540.186,444.172
AIR,EC130E,1,7,"","",9.77,5.183,0.59,4.462
AIR,EC130E,1,9,"","",111.262,46.478,17.575,8.435
AIR,EC130E,3,3,A,JP8,692.726,3329.955,336.936,1713.114
AIR,EC130E,3,7,"","",3.584,7.483,3.991,4.296
AIR,EC130E,3,9,"","",59.75,26.759,65.966,16.21
AIR,EC130H,1,3,A,JP8,3185.466,2107.828,1970.099,447.742
AIR,EC130H,1,7,"","",18.769,0.082,4.803,2.622
AIR,EC130H,1,9,"","",73.357,53.475,22.753,5.215
AIR,EC130H,3,3,A,JP8,1101.553,2514.361,318.287,1325.528
AIR,EC130H,3,7,"","",7.695,9.248,0.979,4.018
AIR,EC130H,3,9,"","",111.987,29.271,21.738,11.865
AIR,EC130J,1,3,A,JP8,1146.698,2237.446,410.35,44.024
AIR,EC130J,1,7,"","",12.101,8.009,5.086,2.846
AIR,EC130J,1,9,"","",94.768,30.531,26.379,3.657
AIR,EC130J,3,3,A,JP8,480.18,3623.135,1954.078,1680.175
AIR,EC130J,3,7,"","",18.128,12.27,1.376,3.066
AIR,EC130J,3,9,"","",62.246,76.87,12.478,11.027
AIR,EC135C,1,3,A,JP8,479.157,802.078,2532.887,659.357
AIR,EC135C,1,7,"","",0,0,0,0
AIR,EC135C,1,9,"","",20.336,15.847,9.173,1.312
AIR,EC135C,3,3,A,JP8,3995.638,2211.842,887.215,1641.339
AIR,EC135C,3,7,"","",0,0,0,0
AIR,EC135C,3,9,"","",41.507,22.502,16.154,3.267
AIR,F0015A,1,3,A,JP8,1985.446,253.601,897.779,15.163
AIR,F0015A,1,7,"","",0,0,0,0
AIR,F0015A,1,9,"","",26.595,11.578,1.813,0.37
AIR,F0015A,3,3,A,JP8,921.867,882.31,26.199,422.672
AIR,F0015A,3,7,"","",0,0,0,0
AIR,F0015A,3,9,"","",14.372,14.854,13.459,2.836
AIR,F0015C,1,3,A,JP8,4666.752,3398.091,2185.275,726.659
AIR,F0015C,1,7,"","",0,0,0,0
AIR,F0015C,1,9,"","",8.694,22.48,9.635,7.898
AIR,F0015C,3,3,A,JP8,6465.019,3812.551,2324.997,1702.061
AIR,F0015C,3,7,"","",0,0,0,0
AIR,F0015C,3,9,"","",22.587,22.049,33.599,0.838
AIR,F0015E,1,3,A,JP8,343.231,4202.222,2464.456,1195.695
AIR,F0015E,1,7,"","",0.66,0.742,0.416,0.06
AIR,F0015E,1,9,"","",13.267,12.966,2.704,0.698
AIR,F0015E,3,3,A,JP8,4041.161,2298.996,200.692,593.776
AIR,F0015E,3,7,"","",0.76,0.255,0.368,0.039
AIR,F0015E,3,9,"","",25.791,16.765,10.869,1.149
AIR,F0016D,1,3,A,JP8,132.906,8.726,550.327,154.057
AIR,F0016D,1,7,"","",3.584,0.136,1.5,0.531
AIR,F0016D,1,9,"","",8.476,12.211,1.119,0.419
AIR,F0016D,3,3,A,JP8,192.572,336.922,291.246,170.954
AIR,F0016D,3,7,"","",2.202,2.11,0.111,0.581
AIR,F0016D,3,9,"","",9.996,8.4,6.993,0.533
AIR,F0016H,1,3,A,JP8,1289.505,533.125,578.277,246.092
AIR,F0016H,1,7,"","",1.42,2.584,1.608,0.008
AIR,F0016H,1,9,"","",13.761,9.762,10.718,3.03
AIR,F0016H,3,3,A,JP8,1087.346,103.607,72.745,10.65
AIR,F0016H,3,7,"","",2.4,0.316,1.292,0.791
AIR,F0016H,3,9,"","",0.487,7.459,1.396,0.799
AIR,F0016L,1,3,A,JP8,390.549,684.342,44.082,160.569
AIR,F0016L,1,7,"","",2.914,1.158,0.974,0.704
AIR,F0016L,1,9,"","",15.858,1.789,5.167,2.499
AIR,F0016L,3,3,A,JP8,569.372,26.438,509.216,227.357
AIR,F0016L,3,7,"","",0.426,0.217,0.83,0.501
AIR,F0016L,3,9,"","",20.615,9.239,11.585,1.381
AIR,F0022A,1,3,A,JP8,718.116,694.736,28.22,132.048
AIR,F0022A,1,7,"","",0,0,0,0
AIR,F0022A,1,9,"","",1.078,0.374,3.171,0.115
AIR,F0022A,3,3,A,JP8,959.863,543.647,121.741,229.46
AIR,F0022A,3,7,"","",0,0,0,0
AIR,F0022A,3,9,"","",0.882,5.669,1.953,0.865
AIR,F0117A,1,3,A,JP8,1057.183,407.926,347.624,323.594
AIR,F0117A,1,7,"","",0,0,0,0
AIR,F0117A,1,9,"","",0.186,0.095,1.515,1.053
AIR,F0117A,3,3,A,JP8,678.772,665.142,376.379,585.204
AIR,F0117A,3,7,"","",0,0,0,0
AIR,F0117A,3,9,"","",2.241,5.402,1.67,0.957
AIR,F15A/B,1,3,A,JP8,2495.506,1059.758,1038.226,429.327
AIR,F15A/B,1,7,"","",0,0,0,0
AIR,F15A/B,1,9,"","",4.613,0.985,4.707,4.362
AIR,F15A/B,3,3,A,JP8,1452.469,1277.514,372.551,896.604
AIR,F15A/B,3,7,"","",0,0,0,0
AIR,F15A/B,3,9,"","",12.575,17.837,0.6,0.74
AIR,F15C/D,1,3,A,JP8,984.06,913.179,433.449,113.447
AIR,F15C/D,1,7,"","",0,0,0,0
AIR,F15C/D,1,9,"","",53.457,14.567,31.096,3.46
AIR,F15C/D,3,3,A,JP8,3331.16,3489.119,305.926,1936.977
AIR,F15C/D,3,7,"","",0,0,0,0
AIR,F15C/D,3,9,"","",13.569,31.586,21.194,2.155
AIR,F16C/D,1,3,A,JP8,642.63,692.238,97.713,94.936
AIR,F16C/D,1,7,"","",2.84,1.142,0.128,0.679
AIR,F16C/D,1,9,"","",0.95,5.648,9.607,0.494
AIR,F16C/D,3,3,A,JP8,552.632,810.434,603.736,451.224
AIR,F16C/D,3,7,"","",1.779,0.371,1.616,0.748
AIR,F16C/D,3,9,"","",18.246,14.009,10.778,1.355
AIR,HC0130,1,3,A,JP8,2326.082,1065.542,1294.559,375.904
AIR,HC0130,1,7,"","",11.733,4.517,3.526,0.882
AIR,HC0130,1,9,"","",83.047,14.463,39.059,5.867
AIR,HC0130,3,3,A,JP8,2759.028,1902.639,1134.085,1246.341
AIR,HC0130,3,7,"","",7.89,8.223,4.754,0.773
AIR,HC0130,3,9,"","",40.364,6.679,22.36,8.08
AIR,HC130N,1,3,A,JP8,906.007,1897.691,416.184,538.193
AIR,HC130N,1,7,"","",12.346,7.516,5.014,2.009
AIR,HC130N,1,9,"","",42.147,38.931,20.089,0.744
AIR,HC130N,3,3,A,JP8,2398.572,1298.931,1221.983,495.001
AIR,HC130N,3,7,"","",3.288,3.396,4.898,0.242
AIR,HC130N,3,9,"","",9.479,13.412,41.343,1.921
AIR,HH0060,1,3,A,JP8,33.145,137.521,99.476,41.596
AIR,HH0060,1,7,"","",0.294,0.329,0.225,0.053
AIR,HH0060,1,9,"","",0.873,5.394,2.703,2.065
AIR,HH0060,3,3,A,JP8,206.027,74.659,0.496,72.41
AIR,HH0060,3,7,"","",0.29,0.033,0.038,0.041
AIR,HH0060,3,9,"","",18.428,2.735,5.894,1.835
AIR,HH060G,1,3,A,JP8,264.899,113.935,17.456,0.247
AIR,HH060G,1,7,"","",0.428,0.136,0.114,0.015
AIR,HH060G,1,9,"","",18.37,5.423,8.873,1.906
AIR,HH060G,3,3,A,JP8,254.079,116.157,55.636,51.765
AIR,HH060G,3,7,"","",0.13,0.124,0.125,0.119
AIR,HH060G,3,9,"","",11.264,10.301,2.79,1.739
AIR,KC010A,1,3,A,JP8,62047.926,47203.344,16613.885,6043.675
AIR,KC010A,1,7,"","",0,0,0,0
AIR,KC010A,1,9,"","",0.203,0.728,0.449,0.079
AIR,KC010A,3,3,A,JP8,97057.69,35732.83,13416.344,1198.796
AIR,KC010A,3,7,"","",0,0,0,0
AIR,KC010A,3,9,"","",0.606,0.258,0.193,0.021
AIR,KC0135,1,3,A,JP8,30059.11,5844.772,12917.791,1546.917
AIR,KC0135,1,7,"","",11.737,9.967,3.428,0.039
AIR,KC0135,1,9,"","",30.838,34.443,3.701,5.547
AIR,KC0135,3,3,A,JP8,24812.535,6351.997,1769.065,9423.142
AIR,KC0135,3,7,"","",6.187,10.965,4.054,3.212
AIR,KC0135,3,9,"","",38.939,20.732,15.599,5.629
AIR,KC135E,1,3,A,JP8,6552.252,8183.866,1574.97,974.684
AIR,KC135E,1,7,"","",98.028,44.003,18.385,0.427
AIR,KC135E,1,9,"","",52.462,11.428,20.208,4.428
AIR,KC135E,3,3,A,JP8,3490.678,7462.601,3732.262,4197.651
AIR,KC135E,3,7,"","",41.343,35.003,10.269,11.843
AIR,KC135E,3,9,"","",4.991,33.003,20.743,1.778
AIR,KC135R,1,3,A,JP8,31698.326,11977.279,7062.549,3831.725
AIR,KC135R,1,7,"","",11.319,0.422,0.198,2.242
AIR,KC135R,1,9,"","",42.148,9.178,20.399,1.974
AIR,KC135R,3,3,A,JP8,31473.564,11873.136,1210.16,957.028
AIR,KC135R,3,7,"","",7.328,6.85,1.542,1.453
AIR,KC135R,3,9,"","",28.767,2.498,21.542,5.375
AIR,LC130H,1,3,A,JP8,1000.939,2005.144,601.085,549.373
AIR,LC130H,1,7,"","",1.158,8.803,5.703,3.49
AIR,LC130H,1,9,"","",75.574,24.387,13.102,0.189
AIR,LC130H,3,3,A,JP8,3739.899,4666.135,2713.405,2597.354
AIR,LC130H,3,7,"","",9.069,4.333,6.254,4.644
AIR,LC130H,3,9,"","",29.288,2.156,20.124,3.352
AIR,MC0130,1,3,A,JP8,123.152,1371.961,559.811,249.486
AIR,MC0130,1,7,"","",6.683,8.188,0.683,0.768
AIR,MC0130,1,9,"","",10.238,55.227,18.287,0.072
AIR,MC0130,3,3,A,JP8,3185.427,1993.376,1250.821,512.476
AIR,MC0130,3,7,"","",11.112,7.24,0.535,0.677
AIR,MC0130,3,9,"","",7.224,53.236,42.772,7.314
AIR,MC130E,1,3,A,JP8,397.048,1503.952,707.016,40.038
AIR,MC130E,1,7,"","",4.751,2.25,4.552,2.538
AIR,MC130E,1,9,"","",73.862,31.918,41.324,3.76
AIR,MC130E,3,3,A,JP8,130.958,1431.129,365.542,700.495
AIR,MC130E,3,7,"","",8.647,8.16,5.023,0.203
AIR,MC130E,3,9,"","",40.793,47.967,10.547,11.967
AIR,MC130H,1,3,A,JP8,187.122,137.603,248.017,527.852
AIR,MC130H,1,7,"","",2.606,0.55,2.378,2.074
AIR,MC130H,1,9,"","",30.098,1.953,12.831,8.691
AIR,MC130H,3,3,A,JP8,2133.87,731.686,498.864,786.422
AIR,MC130H,3,7,"","",3.818,0.786,0.792,1.016
AIR,MC130H,3,9,"","",72.542,45.34,21.855,1.928
AIR,MC130P,1,3,A,JP8,1424.424,451.195,953.153,146.983
AIR,MC130P,1,7,"","",8.22,2.919,0.659,0.66
AIR,MC130P,1,9,"","",28.248,56.321,6.806,4.677
AIR,MC130P,3,3,A,JP8,1373.758,629.963,261.331,1356.114
AIR,MC130P,3,7,"","",5.738,7.967,2.934,2.095
AIR,MC130P,3,9,"","",11.083,24.912,9.528,8.296
AIR,MH053J,1,3,A,JP8,352.237,523.768,193.09,1.888
AIR,MH053J,1,7,"","",3.542,3.136,1.576,0.882
AIR,MH053J,1,9,"","",63.857,13.354,6.179,8.812
AIR,MH053J,3,3,A,JP8,13.484,251.108,4.678,93.076
AIR,MH053J,3,7,"","",1.022,2.105,1.92,0.544
AIR,MH053J,3,9,"","",2.66,36.655,15.244,1.117
AIR,MH060G,1,3,A,JP8,237.557,87.849,51.227,54.86
AIR,MH060G,1,7,"","",0.156,0.369,0.173,0.029
AIR,MH060G,1,9,"","",0.563,0.054,0.31,0.001
AIR,MH060G,3,3,A,JP8,49.752,149.488,31.565,97.245
AIR,MH060G,3,7,"","",0.097,0.276,0.224,0.103
AIR,MH060G,3,9,"","",0.253,0.118,0.132,0.022
AIR,OA010A,1,3,A,JP8,1724.52,668.763,545.818,22.013
AIR,OA010A,1,7,"","",0.008,0.014,0.001,0
AIR,OA010A,1,9,"","",4.822,8.401,0.373,0.13
AIR,OA010A,3,3,A,JP8,1694.103,257.133,94.308,250.019
AIR,OA010A,3,7,"","",0.015,0.019,0.004,0
AIR,OA010A,3,9,"","",10.279,9.194,6.747,0.033
AIR,RC0135,1,3,A,JP8,13365.74,5726.318,319.865,1089.19
AIR,RC0135,1,7,"","",0,0,0,0
AIR,RC0135,1,9,"","",12.195,14.276,23.767,1.665
AIR,RC0135,3,3,A,JP8,7823.166,3933.885,2874.187,4106.032
AIR,RC0135,3,7,"","",0,0,0,0
AIR,RC0135,3,9,"","",8.636,29.413,21.548,1.272
AIR,RC135S,1,3,A,JP8,206.112,1741.767,183.221,2316.392
AIR,RC135S,1,7,"","",0,0,0,0
AIR,RC135S,1,9,"","",32.817,3.663,15.78,8.875
AIR,RC135S,3,3,A,JP8,6784.898,7352.798,4934.458,5200.335
AIR,RC135S,3,7,"","",0,0,0,0
AIR,RC135S,3,9,"","",44.59,0.151,14.041,8.026
AIR,RC135U,1,3,A,JP8,5063.966,3655.03,1615.788,1822.625
AIR,RC135U,1,7,"","",0,0,0,0
AIR,RC135U,1,9,"","",10.077,29.288,16.505,4.531
AIR,RC135U,3,3,A,JP8,900.994,5901.893,1812.766,939.777
AIR,RC135U,3,7,"","",0,0,0,0
AIR,RC135U,3,9,"","",52.934,0.973,28.033,0.11
AIR,RC135V,1,3,A,JP8,208.331,6285.594,5827.965,1970.657
AIR,RC135V,1,7,"","",0,0,0,0
AIR,RC135V,1,9,"","",62.357,37.163,24.798,3.495
AIR,RC135V,3,3,A,JP8,3724.95,6549.813,3092.292,1479.194
AIR,RC135V,3,7,"","",0,0,0,0
AIR,RC135V,3,9,"","",21.333,1.696,11.36,4.64
AIR,U00002,1,3,A,JP8,758.844,200.414,322.144,150.573
AIR,U00002,1,7,"","",0,0,0,0
AIR,U00002,3,3,A,JP8,374.388,209.072,132.442,382.04
AIR,U00002,3,7,"","",0,0,0,0
DEF,A,1,1,"","",11.146,11.146,11.146,11.146
DEF,A,1,2,"","",2.076,2.076,2.076,2.076
DEF,A,1,3,A,JP8,2.832,2.702,2.561,2.631
DEF,A,1,3,P,"",0.51,0.51,0.51,0.51
DEF,A,1,3,W,DF2,11.363,10.635,9.595,7.969
DEF,A,1,3,W,MG1,1.038,1.019,1.125,1.067
DEF,A,1,4,"","",8.13,8.13,8.13,8.13
DEF,A,1,6,"","",3.399,3.399,3.399,3.399
DEF,A,1,7,"","",4.381,3.107,1.883,0.917
DEF,A,1,8,"","",1.017,0.72,0.441,0.207
DEF,A,1,9,"","",1.64,1.17,0.7,0.23
DEF,A,3,1,"","",8.62,8.62,8.62,8.62
DEF,A,3,2,"","",3.35,3.35,3.35,3.35
DEF,A,3,3,A,JP8,2.4,2.29,2.17,2.23
DEF,A,3,3,P,"",0.51,0.51,0.51,0.51
DEF,A,3,3,W,DF2,11.25,10.53,9.5,7.89
DEF,A,3,3,W,MG1,1.07,1.05,1.16,1.1
DEF,A,3,4,"","",9.92,9.92,9.92,9.92
DEF,A,3,6,"","",2.06,2.06,2.06,2.06
DEF,A,3,7,"","",41.52,29.48,17.86,8.71
DEF,A,3,8,"","",1.13,0.8,0.49,0.23
DEF,A,3,9,"","",1.64,1.17,0.7,0.23
DEF,F,1,1,"","",14.09,14.09,14.09,14.09
DEF,F,1,2,"","",3.48,3.48,3.48,3.48
DEF,F,1,3,P,"",0.02,0.02,0.02,0.02
DEF,F,1,3,W,MUR,4.8,4.8,4.8,4.8
DEF,F,1,4,"","",0,0,0,0
DEF,F,1,6,"","",2.7,2.7,2.7,2.7
DEF,F,1,7,"","",2.1,1.52,0.95,0.46
DEF,F,1,8,"","",0,0,0,0
DEF,F,1,9,"","",0.53,0.43,0.27,0.12
DEF,F,1,0,"","",0,0,0,0
DEF,F,3,1,"","",7.53,7.53,7.53,7.53
DEF,F,3,2,"","",3.48,3.48,3.48,3.48
DEF,F,3,3,P,"",0.02,0.02,0.02,0.02
DEF,F,3,3,W,MUR,4.8,4.8,4.8,4.8
DEF,F,3,4,"","",0,0,0,0
DEF,F,3,6,"","",2.7,2.7,2.7,2.7
DEF,F,3,7,"","",2.1,1.52,0.95,0.46
DEF,F,3,8,"","",0,0,0,0
DEF,F,3,9,"","",0.53,0.43,0.27,0.12
DEF,F,3,0,"","",0,0,0,0
DEF,M,1,1,"","",10.24,10.24,10.24,10.24
DEF,M,1,2,"","",2.2,2.2,2.2,2.2
DEF,M,1,3,A,JP8,2.832,2.702,2.561,2.631
DEF,M,1,3,P,"",0.22,0.22,0.11,0.11
DEF,M,1,3,W,DF2,11.363,10.635,9.595,7.969
DEF,M,1,3,W,MG1,1.038,1.019,1.125,1.067
DEF,M,1,4,"","",2.73,2.73,2.73,2.73
DEF,M,1,6,"","",3.52,3.52,3.52,3.52
DEF,M,1,7,"","",4.79,3.69,1.96,0.76
DEF,M,1,8,"","",1.6,1.2,0.6,0.2
DEF,M,1,9,"","",4.4,3.6,1.9,1.9
DEF,M,1,0,"","",1.54,1.54,1.44,1.44
DEF,M,3,1,"","",9.07,9.07,9.07,9.07
DEF,M,3,2,"","",2.05,2.05,2.05,2.05
DEF,M,3,3,A,JP8,2.4,2.29,2.17,2.23
DEF,M,3,3,P,"",0.12,0.12,0.06,0.06
DEF,M,3,3,W,DF2,11.25,10.53,9.5,7.89
DEF,M,3,3,W,MG1,1.07,1.05,1.16,1.1
DEF,M,3,4,"","",1.89,1.89,1.89,1.89
DEF,M,3,6,"","",3.2,3.2,3.2,3.2
DEF,M,3,7,"","",3.24,2.5,1.34,0.53
DEF,M,3,8,"","",0.97,0.73,0.37,0.13
DEF,M,3,9,"","",2.85,2.34,1.27,1.27
DEF,M,3,0,"","",1.46,1.46,1.4,1.4
DEF,N,1,1,"","",12.34,12.34,12.34,12.34
DEF,N,1,2,"","",0.55,0.55,0.55,0.55
DEF,N,1,3,P,"",0.01,0.01,0.01,0.01
DEF,N,1,3,W,DFM,30.54,30.54,30.54,30.54
DEF,N,1,4,"","",0,0,0,0
DEF,N,1,6,"","",1.08,1.08,1.08,1.08
DEF,N,1,7,"","",0,0,0,0
DEF,N,1,8,"","",0,0,0,0
DEF,N,1,9,"","",20.6,20.6,20.6,20.6
DEF,N,3,1,"","",12.34,12.34,12.34,12.34
DEF,N,3,2,"","",0.55,0.55,0.55,0.55
DEF,N,3,3,P,"",0.01,0.01,0.01,0.01
DEF,N,3,3,W,DFM,30.54,30.54,30.54,30.54
DEF,N,3,4,"","",0,0,0,0
DEF,N,3,6,"","",1.08,1.08,1.08,1.08
DEF,N,3,7,"","",0,0,0,0
DEF,N,3,8,"","",0,0,0,0
DEF,N,3,9,"","",20.6,20.6,20.6,20.6
MCA,A00006,1,3,A,JP8,4824,4824,4100,4100
MCA,A00006,3,3,A,JP8,4824,4824,4100,4100
MCA,AH001W,1,3,A,JP8,1128,1128,983,983
MCA,AH001W,3,3,A,JP8,1128,1128,983,983
MCA,AV008B,1,3,A,JP8,3474,3474,2895,2895
MCA,AV008B,3,3,A,JP8,3474,3474,2895,2895
MCA,CH0046,1,3,A,JP8,3659,3659,3659,3659
MCA,CH0046,3,3,A,JP8,3659,3659,3659,3659
MCA,CH053D,1,3,A,JP8,4765,4765,4765,4765
MCA,CH053D,3,3,A,JP8,4765,4765,4765,4765
MCA,CH053E,1,3,A,JP8,8436,8436,8436,8436
MCA,CH053E,3,3,A,JP8,8436,8436,8436,8436
MCA,EA006B,1,3,A,JP8,4118,4118,3346,3346
MCA,EA006B,3,3,A,JP8,4118,4118,3346,3346
MCA,FA018A,1,3,A,JP8,3861,3861,3346,3346
MCA,FA018A,3,3,A,JP8,3861,3861,3346,3346
MCA,FA018B,1,3,A,JP8,3861,3861,3346,3346
MCA,FA018B,3,3,A,JP8,3861,3861,3346,3346
MCA,KC0130,1,3,A,JP8,11568,11568,11568,11568
MCA,KC0130,3,3,A,JP8,11568,11568,11568,11568
MCA,MV0022,1,3,A,JP8,4765,4765,4765,4765
MCA,MV0022,3,3,A,JP8,4765,4765,4765,4765
MCA,UH001N,1,3,A,JP8,1632,1632,1632,1632
MCA,UH001N,3,3,A,JP8,1632,1632,1632,1632
SRC,01042A000,1,3,W,DF2,12.594,12.594,12.594,12.594
SRC,01042A000,1,3,W,MG1,5.5,5.5,5.5,5.5
SRC,01042A000,1,7,"","",9.894,0.433,0.244,0.15
SRC,01042A000,1,9,"","",0.872,0.872,0.872,0.872
